Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
JB380038,08/05/2018 02:00:00 AM,078XX S RACINE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,0612,17,14,1169682,1852818,2018,41.751632033,-87.653766386,"(41.751632033, -87.653766386)"
JB379814,08/05/2018 02:00:00 AM,033XX W POTOMAC AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA APARTMENT,false,false,1422,26,26,1153912,1908453,2018,41.904628887,-87.710077397,"(41.904628887, -87.710077397)"
JB379872,08/05/2018 02:00:00 AM,0000X W DIVISION ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,false,false,1824,42,06,1175906,1908369,2018,41.903931469,-87.629290187,"(41.903931469, -87.629290187)"
JB379817,08/05/2018 02:00:00 AM,044XX N CENTRAL AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,true,false,1623,45,08B,1138209,1928924,2018,41.961102078,-87.767263264,"(41.961102078, -87.767263264)"
JB379852,08/05/2018 02:00:00 AM,047XX W MADISON ST,0334,ROBBERY,ATTEMPT: ARMED-KNIFE/CUT INSTR,CTA BUS STOP,false,false,1113,28,03,1144890,1899603,2018,41.880518571,-87.743441605,"(41.880518571, -87.743441605)"
JB379811,08/05/2018 02:08:00 AM,044XX S STEWART AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,false,false,0925,3,04A,1174416,1875353,2018,41.813366614,-87.635748604,"(41.813366614, -87.635748604)"
JB382186,08/05/2018 02:10:00 AM,0000X W ELM ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,false,false,1824,42,06,1175930,1908090,2018,41.90316534,-87.629210442,"(41.90316534, -87.629210442)"
JB379827,08/05/2018 02:10:00 AM,006XX N CLARK ST,0560,ASSAULT,SIMPLE,RESTAURANT,false,false,1832,42,08A,1175432,1904246,2018,41.892628411,-87.63115524,"(41.892628411, -87.63115524)"
JB379839,08/05/2018 02:15:00 AM,003XX W SCHILLER ST,2027,NARCOTICS,POSS: CRACK,STREET,true,false,1821,27,18,1173690,1909695,2018,41.907619699,-87.637390503,"(41.907619699, -87.637390503)"
JB379823,08/05/2018 02:15:00 AM,011XX W 47TH PL,0820,THEFT,$500 AND UNDER,APARTMENT,false,true,0933,3,06,1169566,1873300,2018,41.807839624,-87.653598167,"(41.807839624, -87.653598167)"
