Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
JB393625,08/01/2018 12:01:00 AM,012XX N MASSASOIT AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,2531,29,11,1137786,1907763,2018,41.903041675,-87.769330251,"(41.903041675, -87.769330251)"
JB377195,08/01/2018 12:01:00 AM,062XX S ROCKWELL ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0825,15,06,1160110,1863264,2018,41.7804995,-87.688556482,"(41.7804995, -87.688556482)"
JB375059,08/01/2018 12:01:00 AM,061XX S TALMAN AVE,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE,false,true,0825,15,20,1159759,1863906,2018,41.782268452,-87.689825703,"(41.782268452, -87.689825703)"
JB374317,08/01/2018 12:01:00 AM,069XX S CREGIER AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,true,0332,5,26,1189401,1859290,2018,41.768941644,-87.58129902,"(41.768941644, -87.58129902)"
JB374310,08/01/2018 12:01:00 AM,101XX S MAPLEWOOD AVE,0820,THEFT,$500 AND UNDER,DRIVEWAY - RESIDENTIAL,false,false,2211,19,06,1161156,1837449,2018,41.709637563,-87.685434241,"(41.709637563, -87.685434241)"
JB374077,08/01/2018 12:01:00 AM,065XX S HERMITAGE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),false,true,0725,15,11,1165793,1861349,2018,41.775125668,-87.667775881,"(41.775125668, -87.667775881)"
JB373842,08/01/2018 12:01:00 AM,006XX E 44TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0221,4,08B,1181468,1875986,2018,41.814943616,-87.609862202,"(41.814943616, -87.609862202)"
JB373934,08/01/2018 12:01:00 AM,046XX W ADAMS ST,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1113,28,03,1145540,1898723,2018,41.878091461,-87.741077138,"(41.878091461, -87.741077138)"
JB373878,08/01/2018 12:01:00 AM,036XX W OHIO ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),STREET,true,false,1122,27,18,1151857,1903753,2018,41.891772348,-87.717749924,"(41.891772348, -87.717749924)"
JB373844,08/01/2018 12:01:00 AM,062XX S WINCHESTER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0714,15,08B,1164429,1863300,2018,41.780508328,-87.672721197,"(41.780508328, -87.672721197)"
JB373840,08/01/2018 12:03:00 AM,012XX W 97TH PL,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,2213,21,26,1169759,1840191,2018,41.71698008,-87.653849525,"(41.71698008, -87.653849525)"
JB381538,08/01/2018 12:05:00 AM,038XX W GRENSHAW ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,DAY CARE CENTER,false,false,1133,24,20,1150887,1894763,2018,41.867121846,-87.721547674,"(41.867121846, -87.721547674)"
JB373877,08/01/2018 12:05:00 AM,033XX W ARTHINGTON ST,0337,ROBBERY,ATTEMPT: ARMED-OTHER DANG WEAP,SIDEWALK,false,false,1134,24,03,1154345,1895847,2018,41.870028132,-87.708823855,"(41.870028132, -87.708823855)"
JB373835,08/01/2018 12:05:00 AM,027XX W 58TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0824,16,08B,1158926,1866077,2018,41.788243045,-87.692820438,"(41.788243045, -87.692820438)"
JB373841,08/01/2018 12:10:00 AM,079XX S PAULINA ST,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0611,21,08A,1166394,1851967,2018,41.749367402,-87.665839571,"(41.749367402, -87.665839571)"
JB373850,08/01/2018 12:10:00 AM,015XX W FARGO AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,2422,49,03,1164848,1949526,2018,42.017109884,-87.668736199,"(42.017109884, -87.668736199)"
JB373838,08/01/2018 12:15:00 AM,074XX S MAY ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0733,17,14,1169937,1855596,2018,41.7592497,-87.652751399,"(41.7592497, -87.652751399)"
JB373857,08/01/2018 12:18:00 AM,025XX E 76TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,false,false,0421,7,04A,1194324,1855058,2018,41.757209187,-87.563392885,"(41.757209187, -87.563392885)"
JB373901,08/01/2018 12:20:00 AM,087XX S CALUMET AVE,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,0632,6,06,1180004,1847125,2018,41.735779834,-87.616115218,"(41.735779834, -87.616115218)"
JB373855,08/01/2018 12:20:00 AM,007XX S HOMAN AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1133,24,03,1153826,1896402,2018,41.871561458,-87.710714493,"(41.871561458, -87.710714493)"
JB373880,08/01/2018 12:20:00 AM,007XX E 87TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,DEPARTMENT STORE,false,false,0632,6,14,1182609,1847455,2018,41.736625423,-87.60656135,"(41.736625423, -87.60656135)"
JB373860,08/01/2018 12:22:00 AM,091XX S ELLIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0413,8,08B,1184484,1844511,2018,41.728503105,-87.59978396,"(41.728503105, -87.59978396)"
JB373866,08/01/2018 12:23:00 AM,028XX W JACKSON BLVD,0560,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),false,false,1124,2,08A,1157560,1898567,2018,41.877427291,-87.696946533,"(41.877427291, -87.696946533)"
JB373847,08/01/2018 12:23:00 AM,066XX N CLARK ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,false,false,2432,49,14,1163933,1944322,2018,42.002849447,-87.672251041,"(42.002849447, -87.672251041)"
JB383461,08/01/2018 12:24:00 AM,010XX N ROCKWELL ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,false,false,1211,1,26,1158880,1906737,2018,41.899819543,-87.691875595,"(41.899819543, -87.691875595)"
JB373861,08/01/2018 12:24:00 AM,035XX S CALIFORNIA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,GAS STATION,false,false,0911,12,14,1158278,1881235,2018,41.829851779,-87.694783471,"(41.829851779, -87.694783471)"
JB373865,08/01/2018 12:29:00 AM,072XX N DAMEN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,2424,49,18,1161665,1948264,2018,42.013714147,-87.680484254,"(42.013714147, -87.680484254)"
JB374877,08/01/2018 12:30:00 AM,052XX W CHICAGO AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,GAS STATION,false,false,1524,37,11,1141461,1904831,2018,41.894928829,-87.755903553,"(41.894928829, -87.755903553)"
JB373963,08/01/2018 12:40:00 AM,014XX W 95TH ST,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,false,false,2213,21,05,1168076,1841733,2018,41.721247847,-87.659969446,"(41.721247847, -87.659969446)"
JB373957,08/01/2018 12:43:00 AM,062XX N LINCOLN AVE,0810,THEFT,OVER $500,RESTAURANT,false,false,1711,50,06,1152175,1941531,2018,41.995431777,-87.715582154,"(41.995431777, -87.715582154)"
JB373879,08/01/2018 12:43:00 AM,076XX S YATES BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0421,7,08B,1193526,1854828,2018,41.75659761,-87.56632489,"(41.75659761, -87.56632489)"
JB373870,08/01/2018 12:45:00 AM,104XX S CORLISS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0512,9,08B,1183421,1835954,2018,41.705046453,-87.603943469,"(41.705046453, -87.603943469)"
JB373876,08/01/2018 12:45:00 AM,014XX S KEELER AVE,0650,BURGLARY,HOME INVASION,APARTMENT,false,false,1011,24,05,1148617,1892784,2018,41.861735321,-87.729932294,"(41.861735321, -87.729932294)"
JB373868,08/01/2018 12:46:00 AM,033XX W LEXINGTON ST,0337,ROBBERY,ATTEMPT: ARMED-OTHER DANG WEAP,ALLEY,false,false,1134,24,03,1154124,1896503,2018,41.871832676,-87.709617718,"(41.871832676, -87.709617718)"
JB373874,08/01/2018 12:50:00 AM,044XX N ALBANY AVE,2870,PUBLIC PEACE VIOLATION,PEEPING TOM,RESIDENTIAL YARD (FRONT/BACK),false,false,1724,33,24,1154915,1929414,2018,41.962127398,-87.705829528,"(41.962127398, -87.705829528)"
JB373887,08/01/2018 12:55:00 AM,081XX S LANGLEY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,true,0631,6,14,1182312,1851145,2018,41.746758072,-87.607535431,"(41.746758072, -87.607535431)"
JB373904,08/01/2018 12:55:00 AM,042XX W 26TH ST,141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,SIDEWALK,true,false,1031,22,15,1148387,1886379,2018,41.844163622,-87.730941534,"(41.844163622, -87.730941534)"
JB374062,08/01/2018 12:56:00 AM,076XX S ESSEX AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,0421,7,04A,1194186,1854890,2018,41.756751571,-87.56390413,"(41.756751571, -87.56390413)"
JB373889,08/01/2018 12:58:00 AM,068XX S CRANDON AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,0331,5,04A,1192503,1860020,2018,41.770869828,-87.569905047,"(41.770869828, -87.569905047)"
JB385778,08/01/2018 01:00:00 AM,008XX W CUYLER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,true,1915,46,11,1170030,1927277,2018,41.95594621,-87.650320737,"(41.95594621, -87.650320737)"
JB374419,08/01/2018 01:00:00 AM,012XX W 71ST ST,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0734,17,06,1169383,1857704,2018,41.765046334,-87.65472084,"(41.765046334, -87.65472084)"
JB374746,08/01/2018 01:00:00 AM,028XX S CALIFORNIA AVE,0460,BATTERY,SIMPLE,NURSING HOME/RETIREMENT HOME,false,false,1034,12,08B,1158158,1885141,2018,41.840572746,-87.695117274,"(41.840572746, -87.695117274)"
JB374329,08/01/2018 01:00:00 AM,054XX S LOOMIS BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,0934,16,14,1167920,1868745,2018,41.795375753,-87.659766174,"(41.795375753, -87.659766174)"
JB374123,08/01/2018 01:00:00 AM,032XX W DIVERSEY AVE,0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET,false,false,1412,35,07,1154104,1918434,2018,41.932013763,-87.709105257,"(41.932013763, -87.709105257)"
JB374144,08/01/2018 01:00:00 AM,015XX N WALLER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,2531,29,14,1138053,1909728,2018,41.90842905,-87.768301948,"(41.90842905, -87.768301948)"
JB374000,08/01/2018 01:00:00 AM,008XX N FRANCISCO AVE,0810,THEFT,OVER $500,STREET,false,false,1211,26,06,1156901,1905418,2018,41.896240464,-87.699180313,"(41.896240464, -87.699180313)"
JB373908,08/01/2018 01:00:00 AM,011XX W GRANVILLE AVE,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,SIDEWALK,false,false,2433,48,15,1167577,1941333,2018,41.994569587,-87.658931684,"(41.994569587, -87.658931684)"
JB373884,08/01/2018 01:02:00 AM,086XX S INGLESIDE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,0632,8,14,1184066,1847858,2018,41.737697412,-87.601210874,"(41.737697412, -87.601210874)"
JB373905,08/01/2018 01:05:00 AM,010XX N FRANCISCO AVE,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,HOSPITAL BUILDING/GROUNDS,true,false,1211,26,08B,1156861,1906972,2018,41.900505589,-87.699285044,"(41.900505589, -87.699285044)"
JB373893,08/01/2018 01:12:00 AM,072XX S COLES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0334,7,08B,1194439,1857674,2018,41.764384861,-87.56288557,"(41.764384861, -87.56288557)"
JB375875,08/01/2018 01:15:00 AM,112XX S VERNON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,0531,9,14,1181241,1830615,2018,41.690445905,-87.612090015,"(41.690445905, -87.612090015)"
JB373883,08/01/2018 01:15:00 AM,035XX W LAWRENCE AVE,0460,BATTERY,SIMPLE,SIDEWALK,true,false,1712,39,08B,1152089,1931669,2018,41.968371585,-87.716159903,"(41.968371585, -87.716159903)"
JB373890,08/01/2018 01:20:00 AM,008XX W RANDOLPH ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1224,27,03,1170832,1901250,2018,41.88450925,-87.648136917,"(41.88450925, -87.648136917)"
JB373859,08/01/2018 01:24:00 AM,046XX W PALMER ST,0266,CRIM SEXUAL ASSAULT,PREDATORY,APARTMENT,false,false,2522,31,02,1144928,1914219,2018,41.920625767,-87.742932722,"(41.920625767, -87.742932722)"
JB374892,08/01/2018 01:30:00 AM,051XX S CHRISTIANA AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0822,14,06,1154916,1870256,2018,41.799791856,-87.707412136,"(41.799791856, -87.707412136)"
JB373907,08/01/2018 01:30:00 AM,009XX W DIVERSEY PKWY,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE,true,false,1933,44,14,1169595,1918790,2018,41.93266704,-87.652167828,"(41.93266704, -87.652167828)"
JB373897,08/01/2018 01:37:00 AM,040XX W OAKDALE AVE,041A,BATTERY,AGGRAVATED: HANDGUN,RESIDENTIAL YARD (FRONT/BACK),false,false,2523,31,04B,1148896,1919308,2018,41.934514551,-87.72822139,"(41.934514551, -87.72822139)"
JB373914,08/01/2018 01:51:00 AM,019XX E 73RD PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0333,5,08B,1190612,1856624,2018,41.761596782,-87.57694609,"(41.761596782, -87.57694609)"
JB373933,08/01/2018 01:57:00 AM,059XX S ARCHER AVE,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,SMALL RETAIL STORE,true,false,0811,23,05,1138883,1868442,2018,41.795119256,-87.766254471,"(41.795119256, -87.766254471)"
JB375464,08/01/2018 02:00:00 AM,047XX S ST LAWRENCE AVE,0810,THEFT,OVER $500,OTHER,false,false,0223,4,06,1181060,1873636,2018,41.808504443,-87.611431199,"(41.808504443, -87.611431199)"
JB373921,08/01/2018 02:00:00 AM,004XX E 79TH ST,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,0624,6,06,1180504,1852723,2018,41.751129939,-87.614112006,"(41.751129939, -87.614112006)"
JB374035,08/01/2018 02:00:00 AM,079XX S SANGAMON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0621,17,14,1171356,1852118,2018,41.749674695,-87.647652413,"(41.749674695, -87.647652413)"
JB373911,08/01/2018 02:01:00 AM,067XX S CAMPBELL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0832,15,08B,1160868,1859971,2018,41.771447416,-87.685868399,"(41.771447416, -87.685868399)"
JB373918,08/01/2018 02:09:00 AM,021XX W 35TH ST,2022,NARCOTICS,POSS: COCAINE,STREET,true,false,0912,11,18,1162714,1881452,2018,41.830355617,-87.678501682,"(41.830355617, -87.678501682)"
JB375635,08/01/2018 02:14:00 AM,027XX W FLOURNOY ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,1135,2,14,1158269,1896922,2018,41.872898796,-87.694388235,"(41.872898796, -87.694388235)"
JB373909,08/01/2018 02:15:00 AM,086XX S LAFLIN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,0614,21,08B,1167841,1847481,2018,41.737026255,-87.660665675,"(41.737026255, -87.660665675)"
JB373925,08/01/2018 02:20:00 AM,082XX S INGLESIDE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,true,0631,8,06,1183998,1850576,2018,41.745157485,-87.601375306,"(41.745157485, -87.601375306)"
JB373941,08/01/2018 02:30:00 AM,028XX E 78TH ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0421,7,05,1196355,1853791,2018,41.753682327,-87.555991696,"(41.753682327, -87.555991696)"
JB374133,08/01/2018 02:30:00 AM,093XX S ESCANABA AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,0423,10,26,1197013,1843642,2018,41.725816334,-87.553917257,"(41.725816334, -87.553917257)"
JB374200,08/01/2018 02:30:00 AM,028XX S CHRISTIANA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),false,false,1032,22,14,1154491,1885037,2018,41.840361342,-87.708576605,"(41.840361342, -87.708576605)"
JB373917,08/01/2018 02:30:00 AM,067XX S ASHLAND AVE,0560,ASSAULT,SIMPLE,STREET,false,false,0725,15,08A,1166831,1860122,2018,41.771736514,-87.66400571,"(41.771736514, -87.66400571)"
JB373924,08/01/2018 02:36:00 AM,034XX W ROOSEVELT RD,0460,BATTERY,SIMPLE,STREET,false,false,1133,24,08B,1153720,1894499,2018,41.866341527,-87.711154301,"(41.866341527, -87.711154301)"
JB373931,08/01/2018 02:45:00 AM,061XX S COTTAGE GROVE AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,0313,20,03,1182617,1864574,2018,41.783601519,-87.606001759,"(41.783601519, -87.606001759)"
JB375214,08/01/2018 02:51:00 AM,007XX S STATE ST,0810,THEFT,OVER $500,APARTMENT,false,false,0123,2,06,1176480,1896742,2018,41.872013415,-87.627533053,"(41.872013415, -87.627533053)"
JB377733,08/01/2018 03:00:00 AM,015XX W 80TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0612,21,14,1167288,1851673,2018,41.748541547,-87.66257199,"(41.748541547, -87.66257199)"
JB375742,08/01/2018 03:00:00 AM,028XX S LAWNDALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,1032,22,14,1152165,1884929,2018,41.840111087,-87.71711501,"(41.840111087, -87.71711501)"
JB373932,08/01/2018 03:05:00 AM,003XX E GARFIELD BLVD,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,false,false,0231,3,03,1179603,1868627,2018,41.794792764,-87.616928218,"(41.794792764, -87.616928218)"
JB373935,08/01/2018 03:16:00 AM,028XX S ST LOUIS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1032,22,14,1153494,1884987,2018,41.840243978,-87.712236552,"(41.840243978, -87.712236552)"
JB373936,08/01/2018 03:20:00 AM,057XX S HERMITAGE AVE,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE PORCH/HALLWAY,false,false,0715,15,05,1165658,1866661,2018,41.789705338,-87.668120125,"(41.789705338, -87.668120125)"
JB373938,08/01/2018 03:20:00 AM,066XX S WHIPPLE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,0831,15,08B,1157196,1860403,2018,41.772707957,-87.699317128,"(41.772707957, -87.699317128)"
JB373944,08/01/2018 03:27:00 AM,051XX N CALIFORNIA AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,OTHER,false,false,2031,40,04B,1156765,1934174,2018,41.975151721,-87.698898226,"(41.975151721, -87.698898226)"
JB373943,08/01/2018 03:30:00 AM,005XX E 90TH ST,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,ALLEY,false,false,0633,6,15,1181473,1845425,2018,41.731081115,-87.610785683,"(41.731081115, -87.610785683)"
JB373949,08/01/2018 03:37:00 AM,048XX W WEST END AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,1532,28,04A,1143925,1900541,2018,41.883110703,-87.746961502,"(41.883110703, -87.746961502)"
JB373954,08/01/2018 03:39:00 AM,030XX N SEMINARY AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,false,false,1933,44,26,1168421,1920368,2018,41.937022661,-87.656436343,"(41.937022661, -87.656436343)"
JB373948,08/01/2018 03:39:00 AM,027XX W 71ST ST,0610,BURGLARY,FORCIBLE ENTRY,CONVENIENCE STORE,false,false,0831,18,05,1159112,1857445,2018,41.764551795,-87.692374342,"(41.764551795, -87.692374342)"
JB373953,08/01/2018 03:42:00 AM,069XX N ASHLAND BLVD,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,APARTMENT,true,false,2431,49,18,1164530,1945917,2018,42.007213492,-87.670009263,"(42.007213492, -87.670009263)"
JB373960,08/01/2018 03:48:00 AM,105XX S LOWE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,2233,34,05,1173842,1834880,2018,41.702316523,-87.639052164,"(41.702316523, -87.639052164)"
JB373952,08/01/2018 03:55:00 AM,018XX S RIDGEWAY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1014,24,14,1151661,1890691,2018,41.855932632,-87.718813193,"(41.855932632, -87.718813193)"
JB374470,08/01/2018 04:00:00 AM,001XX N HOYNE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,1223,2,14,1162390,1900889,2018,41.883699417,-87.679147095,"(41.883699417, -87.679147095)"
JB374030,08/01/2018 04:00:00 AM,065XX S DR MARTIN LUTHER KING JR DR,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,RESIDENTIAL YARD (FRONT/BACK),false,true,0312,20,26,1180044,1861789,2018,41.776018543,-87.615520426,"(41.776018543, -87.615520426)"
JB373951,08/01/2018 04:00:00 AM,088XX S YALE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0634,21,08B,1176038,1846329,2018,41.733685284,-87.63066889,"(41.733685284, -87.63066889)"
JB373955,08/01/2018 04:00:00 AM,063XX S HONORE ST,0560,ASSAULT,SIMPLE,APARTMENT,false,false,0726,15,08A,1165101,1862626,2018,41.778644591,-87.670276573,"(41.778644591, -87.670276573)"
JB373965,08/01/2018 04:28:00 AM,039XX W 26TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1031,22,08B,1150343,1886429,2018,41.844262956,-87.723761994,"(41.844262956, -87.723761994)"
JB374337,08/01/2018 04:30:00 AM,024XX N ST LOUIS AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,STREET,false,false,1413,26,14,1152635,1916000,2018,41.92536389,-87.714568203,"(41.92536389, -87.714568203)"
JB373956,08/01/2018 04:30:00 AM,029XX W HARRISON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,1135,2,14,1156869,1897226,2018,41.873761485,-87.699520065,"(41.873761485, -87.699520065)"
JB373964,08/01/2018 04:50:00 AM,006XX S CLARK ST,0890,THEFT,FROM BUILDING,PARKING LOT/GARAGE(NON.RESID.),false,false,0123,2,06,1175620,1897544,2018,41.874233514,-87.630666333,"(41.874233514, -87.630666333)"
JB373971,08/01/2018 04:55:00 AM,020XX W JARVIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,2424,49,08B,1161097,1948779,2018,42.015139187,-87.682559835,"(42.015139187, -87.682559835)"
JB374232,08/01/2018 05:00:00 AM,004XX W 111TH ST,0890,THEFT,FROM BUILDING,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,2233,34,06,1175144,1831296,2018,41.692452591,-87.634391111,"(41.692452591, -87.634391111)"
JB373969,08/01/2018 05:00:00 AM,087XX S PRAIRIE AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,0632,6,03,1179561,1847119,2018,41.735773488,-87.617738375,"(41.735773488, -87.617738375)"
JB373966,08/01/2018 05:00:00 AM,015XX E 55TH ST,0860,THEFT,RETAIL THEFT,DRUG STORE,false,false,0234,4,06,1187488,1868839,2018,41.795190552,-87.588007653,"(41.795190552, -87.588007653)"
JB373980,08/01/2018 05:04:00 AM,081XX S ADA ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,true,0613,21,14,1168744,1850817,2018,41.746161293,-87.657261332,"(41.746161293, -87.657261332)"
JB373970,08/01/2018 05:15:00 AM,034XX N HALSTED ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1925,44,06,1170319,1922907,2018,41.943948446,-87.649386514,"(41.943948446, -87.649386514)"
JB373982,08/01/2018 05:18:00 AM,012XX S WABASH AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SMALL RETAIL STORE,false,false,0131,2,04A,1176964,1894831,2018,41.866758579,-87.625813935,"(41.866758579, -87.625813935)"
JB374772,08/01/2018 05:24:00 AM,024XX W ADAMS ST,0810,THEFT,OVER $500,APARTMENT,false,false,1125,2,06,1160193,1898994,2018,41.878545039,-87.687267058,"(41.878545039, -87.687267058)"
JB377133,08/01/2018 05:30:00 AM,008XX E 83RD ST,0330,ROBBERY,AGGRAVATED,SIDEWALK,false,false,0631,8,03,1183474,1850149,2018,41.743997966,-87.603308578,"(41.743997966, -87.603308578)"
JB373976,08/01/2018 05:30:00 AM,009XX S WABASH AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,STREET,false,false,0123,2,14,1176930,1896134,2018,41.870334861,-87.625899331,"(41.870334861, -87.625899331)"
JB376216,08/01/2018 06:00:00 AM,076XX N SHERIDAN RD,0460,BATTERY,SIMPLE,NURSING HOME/RETIREMENT HOME,false,false,2422,49,08B,1165527,1950516,2018,42.019811963,-87.666209262,"(42.019811963, -87.666209262)"
JB374893,08/01/2018 06:00:00 AM,042XX N KEDVALE AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1722,39,05,1148086,1927860,2018,41.957997591,-87.730977298,"(41.957997591, -87.730977298)"
JB374757,08/01/2018 06:00:00 AM,082XX S MERRILL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0414,8,14,1191954,1850771,2018,41.745503173,-87.572217393,"(41.745503173, -87.572217393)"
JB373983,08/01/2018 06:00:00 AM,003XX E 132ND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,0533,9,08B,1180820,1817919,2018,41.655615862,-87.614019304,"(41.655615862, -87.614019304)"
JB374386,08/01/2018 06:00:00 AM,042XX N KEYSTONE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,1722,39,26,1148534,1927769,2018,41.957739227,-87.729332637,"(41.957739227, -87.729332637)"
JB374022,08/01/2018 06:00:00 AM,025XX W 59TH ST,0337,ROBBERY,ATTEMPT: ARMED-OTHER DANG WEAP,ALLEY,false,false,0824,16,03,1160580,1865460,2018,41.786515941,-87.68677283,"(41.786515941, -87.68677283)"
JB374025,08/01/2018 06:00:00 AM,002XX N FAIRFIELD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,1222,27,14,1158024,1901371,2018,41.88511228,-87.69516629,"(41.88511228, -87.69516629)"
JB373988,08/01/2018 06:00:00 AM,105XX S BENSLEY AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0434,10,26,1194537,1835662,2018,41.703979605,-87.563248254,"(41.703979605, -87.563248254)"
