Kategorie: Alle Kategorien

Region,Donald Trump: (13.03.16 bis 13.03.16),Hillary Clinton: (13.03.16 bis 13.03.16)
Illinois,92%,20%
Ohio,89%,22%
Missouri,91%,21%
Mississippi,96%,15%
Florida,95%,16%
Michigan,93%,19%
Alabama,96%,15%
New Jersey,93%,19%
Maryland,92%,20%
New Hampshire,89%,22%
North Carolina,89%,22%
Massachusetts,91%,21%
Kentucky,100%,12%
Vermont,75%,37%
Virginia,95%,16%
Oklahoma,98%,13%
Pennsylvania,93%,19%
New York,89%,22%
North Dakota,97%,14%
West Virginia,87%,24%
Georgia,98%,13%
Connecticut,85%,26%
South Carolina,89%,22%
Rhode Island,96%,15%
Tennessee,98%,13%
Indiana,93%,19%
Iowa,92%,20%
District of Columbia,83%,29%
Nebraska,94%,17%
Louisiana,93%,19%
California,91%,21%
Arizona,91%,21%
Kansas,93%,19%
Idaho,92%,20%
Texas,92%,20%
Utah,95%,16%
Hawaii,87%,24%
Nevada,97%,14%
Minnesota,83%,29%
Oregon,87%,24%
Arkansas,86%,25%
Wisconsin,91%,21%
Maine,80%,31%
Washington,89%,22%
Delaware,87%,24%
New Mexico,93%,19%
Colorado,83%,29%
South Dakota,84%,28%
Alaska,89%,22%
Wyoming,69%,42%
Montana,69%,42%
