Kategorie: Alle Kategorien

Region,Donald Trump: (03.02.16 bis 03.02.16),Hillary Clinton: (03.02.16 bis 03.02.16)
New Hampshire,48%,67%
West Virginia,100%,16%
Maine,83%,32%
Vermont,79%,37%
Delaware,100%,16%
Rhode Island,77%,38%
Idaho,87%,29%
District of Columbia,75%,40%
South Carolina,89%,26%
Wyoming,60%,55%
Massachusetts,68%,47%
North Dakota,82%,33%
New Jersey,86%,30%
Iowa,59%,56%
Arkansas,88%,27%
Michigan,80%,36%
Oklahoma,74%,41%
Indiana,84%,31%
Connecticut,70%,45%
South Dakota,79%,37%
Maryland,81%,34%
New York,79%,37%
Alaska,82%,33%
Missouri,81%,34%
Illinois,80%,36%
Ohio,80%,36%
Tennessee,84%,31%
Virginia,77%,38%
Kansas,70%,45%
Minnesota,77%,38%
Nevada,80%,36%
California,74%,41%
Pennsylvania,75%,40%
Arizona,77%,38%
Oregon,81%,34%
Florida,82%,33%
Washington,65%,51%
Texas,79%,37%
New Mexico,83%,32%
North Carolina,70%,45%
Montana,63%,52%
Georgia,77%,38%
Utah,87%,29%
Kentucky,74%,41%
Alabama,74%,41%
Nebraska,55%,60%
Wisconsin,77%,38%
Colorado,73%,43%
Hawaii,69%,46%
Louisiana,75%,40%
Mississippi,91%,24%
