Kategorie: Alle Kategorien

Region,Donald Trump: (22.10.16 bis 22.10.16),Hillary Clinton: (22.10.16 bis 22.10.16)
Montana,84%,36%
Wyoming,61%,59%
Delaware,80%,39%
New Jersey,73%,46%
Pennsylvania,72%,48%
Connecticut,73%,46%
District of Columbia,74%,45%
Rhode Island,79%,40%
New York,73%,46%
North Dakota,67%,53%
Michigan,81%,38%
Virginia,77%,43%
Maryland,75%,44%
Indiana,84%,36%
Florida,74%,45%
California,74%,45%
West Virginia,69%,50%
Tennessee,74%,45%
Nevada,74%,45%
North Carolina,67%,53%
Massachusetts,75%,44%
Minnesota,73%,46%
Vermont,53%,67%
Ohio,69%,50%
Idaho,100%,20%
Arkansas,77%,43%
Oklahoma,57%,62%
New Mexico,85%,34%
Washington,67%,53%
South Carolina,81%,38%
Georgia,74%,45%
Oregon,75%,44%
Arizona,68%,51%
Missouri,74%,45%
Hawaii,90%,30%
Nebraska,78%,42%
South Dakota,74%,45%
Iowa,68%,51%
New Hampshire,61%,59%
Illinois,69%,50%
Kentucky,73%,46%
Maine,59%,61%
Texas,72%,48%
Colorado,67%,53%
Alabama,66%,54%
Louisiana,72%,48%
Mississippi,59%,61%
Alaska,66%,54%
Wisconsin,61%,59%
Kansas,63%,56%
Utah,65%,55%
