Kategorie: Alle Kategorien

Region,Donald Trump: (15.04.16 bis 15.04.16),Hillary Clinton: (15.04.16 bis 15.04.16)
Connecticut,83%,32%
Vermont,31%,84%
New York,58%,58%
Alaska,31%,84%
Pennsylvania,66%,50%
West Virginia,73%,43%
New Jersey,54%,61%
Delaware,77%,38%
Massachusetts,66%,50%
District of Columbia,53%,62%
Maryland,50%,66%
Kansas,79%,37%
Tennessee,76%,39%
Hawaii,100%,16%
Iowa,73%,43%
Arizona,69%,46%
Maine,54%,61%
Rhode Island,69%,46%
Wisconsin,70%,45%
Missouri,81%,34%
Arkansas,68%,47%
Kentucky,69%,46%
North Dakota,51%,65%
Oregon,54%,61%
North Carolina,76%,39%
California,65%,51%
Washington,56%,59%
Virginia,60%,55%
Florida,77%,38%
New Mexico,63%,52%
Michigan,69%,46%
Nebraska,68%,47%
Indiana,66%,50%
Georgia,68%,47%
New Hampshire,44%,72%
South Dakota,77%,38%
South Carolina,70%,45%
Texas,73%,43%
Oklahoma,70%,45%
Montana,83%,32%
Illinois,61%,54%
Nevada,61%,54%
Mississippi,69%,46%
Ohio,67%,48%
Colorado,66%,50%
Minnesota,56%,59%
Utah,56%,59%
Louisiana,84%,31%
Wyoming,58%,58%
Idaho,52%,63%
Alabama,58%,58%
