Kategorie: Alle Kategorien

Region,Donald Trump: (01.11.16 bis 01.11.16),Hillary Clinton: (01.11.16 bis 01.11.16)
Maine,65%,83%
West Virginia,68%,80%
Iowa,62%,86%
Wisconsin,82%,67%
District of Columbia,61%,88%
Delaware,59%,89%
Connecticut,70%,79%
Florida,65%,83%
Mississippi,71%,77%
Indiana,77%,71%
South Dakota,49%,100%
New Jersey,74%,74%
Pennsylvania,73%,76%
New York,68%,80%
Alaska,89%,59%
Louisiana,68%,80%
Rhode Island,68%,80%
South Carolina,70%,79%
Vermont,77%,71%
North Carolina,70%,79%
Arkansas,56%,92%
Arizona,73%,76%
Maryland,65%,83%
Ohio,73%,76%
New Hampshire,76%,73%
Kentucky,70%,79%
Tennessee,70%,79%
Alabama,67%,82%
Missouri,73%,76%
Nebraska,74%,74%
Utah,67%,82%
North Dakota,80%,68%
Texas,65%,83%
Michigan,74%,74%
Illinois,70%,79%
New Mexico,82%,67%
Oklahoma,68%,80%
Virginia,71%,77%
Massachusetts,71%,77%
Minnesota,73%,76%
Colorado,70%,79%
Idaho,58%,91%
Kansas,68%,80%
Nevada,68%,80%
Georgia,73%,76%
California,74%,74%
Oregon,86%,62%
Washington,71%,77%
Hawaii,67%,82%
Montana,74%,74%
Wyoming,74%,74%
