Kategorie: Alle Kategorien

Region,Donald Trump: (22.07.16 bis 22.07.16),Hillary Clinton: (22.07.16 bis 22.07.16)
North Dakota,94%,17%
New Jersey,80%,31%
Delaware,89%,22%
Ohio,83%,29%
Louisiana,84%,28%
Alabama,85%,26%
Minnesota,83%,29%
Rhode Island,85%,26%
Indiana,85%,26%
Oklahoma,85%,26%
Massachusetts,79%,32%
Nebraska,91%,21%
District of Columbia,71%,40%
Mississippi,86%,25%
Iowa,83%,29%
Florida,79%,32%
Illinois,79%,32%
Tennessee,83%,29%
Missouri,84%,28%
Kansas,88%,23%
New York,78%,33%
South Dakota,88%,23%
Colorado,85%,26%
Arkansas,84%,28%
Pennsylvania,78%,33%
Kentucky,83%,29%
Michigan,80%,31%
Nevada,87%,24%
New Hampshire,71%,40%
North Carolina,82%,30%
Texas,85%,26%
New Mexico,83%,29%
Arizona,82%,30%
Georgia,84%,28%
South Carolina,79%,32%
California,82%,30%
Washington,86%,25%
Wisconsin,84%,28%
Maryland,74%,38%
West Virginia,84%,28%
Vermont,76%,35%
Alaska,88%,23%
Maine,76%,35%
Idaho,100%,12%
Virginia,73%,39%
Connecticut,76%,35%
Oregon,75%,37%
Wyoming,88%,23%
Utah,76%,35%
Hawaii,83%,29%
Montana,77%,34%
