Kategorie: Alle Kategorien

Region,Donald Trump: (30.07.16 bis 30.07.16),Hillary Clinton: (30.07.16 bis 30.07.16)
Pennsylvania,62%,82%
District of Columbia,69%,75%
Vermont,59%,85%
Maine,65%,79%
Connecticut,60%,84%
Nebraska,73%,71%
New Jersey,71%,73%
New York,73%,71%
West Virginia,63%,81%
Maryland,75%,69%
Washington,66%,78%
Iowa,92%,52%
Massachusetts,73%,71%
Colorado,68%,76%
North Dakota,66%,78%
Rhode Island,94%,50%
Nevada,92%,52%
Montana,72%,72%
California,72%,72%
Illinois,76%,68%
Louisiana,68%,76%
Indiana,68%,76%
Alabama,66%,78%
Kansas,82%,62%
Ohio,72%,72%
Alaska,100%,44%
Oregon,66%,78%
Idaho,72%,72%
Virginia,69%,75%
Tennessee,79%,65%
Wisconsin,63%,81%
Minnesota,73%,71%
Delaware,75%,69%
Florida,76%,68%
New Hampshire,65%,79%
Georgia,66%,78%
Michigan,66%,78%
Texas,68%,76%
Kentucky,71%,73%
Arizona,76%,68%
North Carolina,69%,75%
Missouri,71%,73%
Wyoming,91%,53%
South Carolina,75%,69%
Mississippi,73%,71%
Oklahoma,84%,60%
New Mexico,72%,72%
Utah,76%,68%
Arkansas,82%,62%
Hawaii,66%,78%
South Dakota,79%,65%
