Kategorie: Alle Kategorien

Region,Donald Trump: (04.08.16 bis 04.08.16),Hillary Clinton: (04.08.16 bis 04.08.16)
Maine,96%,25%
Vermont,80%,41%
New Jersey,96%,25%
Montana,78%,43%
Massachusetts,86%,35%
Kentucky,81%,40%
District of Columbia,75%,46%
New York,87%,34%
Wyoming,53%,68%
Missouri,86%,35%
New Hampshire,100%,21%
Oregon,89%,32%
Pennsylvania,82%,39%
Florida,85%,36%
Illinois,89%,32%
Delaware,70%,51%
California,86%,35%
Maryland,76%,45%
Virginia,86%,35%
Louisiana,80%,41%
North Carolina,85%,36%
Minnesota,89%,32%
Nevada,75%,46%
Washington,81%,40%
Connecticut,76%,45%
Kansas,89%,32%
Arizona,80%,41%
Colorado,78%,43%
New Mexico,82%,39%
Mississippi,91%,30%
Michigan,80%,41%
Alaska,67%,54%
Ohio,85%,36%
Indiana,82%,39%
Georgia,87%,34%
Wisconsin,90%,31%
Alabama,86%,35%
South Dakota,70%,51%
South Carolina,80%,41%
Iowa,71%,50%
Nebraska,89%,32%
Arkansas,85%,36%
Hawaii,87%,34%
Texas,82%,39%
Utah,90%,31%
Oklahoma,84%,37%
Tennessee,73%,48%
West Virginia,71%,50%
Rhode Island,95%,26%
Idaho,73%,48%
North Dakota,62%,59%
