Kategorie: Alle Kategorien

Region,Donald Trump: (26.01.16 bis 26.01.16),Hillary Clinton: (26.01.16 bis 26.01.16)
Iowa,78%,38%
South Dakota,74%,43%
North Dakota,74%,43%
Nevada,89%,28%
Montana,97%,20%
Wyoming,84%,32%
Vermont,76%,41%
Connecticut,80%,37%
Arkansas,98%,18%
Hawaii,74%,43%
Maine,89%,28%
Massachusetts,75%,42%
Arizona,83%,34%
Nebraska,76%,41%
Alaska,60%,57%
Delaware,68%,49%
New Hampshire,62%,55%
District of Columbia,60%,57%
Missouri,89%,28%
Oklahoma,94%,23%
West Virginia,87%,30%
Illinois,78%,38%
Ohio,96%,21%
New Jersey,72%,44%
Indiana,76%,41%
Utah,92%,24%
Rhode Island,76%,41%
Idaho,100%,17%
Virginia,71%,45%
New York,71%,45%
Florida,78%,38%
Wisconsin,74%,43%
Texas,88%,29%
Kentucky,70%,47%
Washington,75%,42%
South Carolina,76%,41%
Colorado,80%,37%
Minnesota,72%,44%
Georgia,74%,43%
Pennsylvania,77%,40%
California,75%,42%
Maryland,55%,62%
North Carolina,89%,28%
Tennessee,74%,43%
Kansas,68%,49%
Louisiana,77%,40%
Michigan,76%,41%
Oregon,71%,45%
Mississippi,72%,44%
Alabama,68%,49%
New Mexico,60%,57%
