Kategorie: Alle Kategorien

Region,Donald Trump: (12.07.16 bis 12.07.16),Hillary Clinton: (12.07.16 bis 12.07.16)
Vermont,27%,97%
Maine,35%,90%
North Dakota,100%,25%
New Hampshire,60%,65%
Indiana,77%,47%
Rhode Island,26%,98%
New Jersey,81%,43%
Arkansas,45%,80%
Kansas,40%,85%
Delaware,48%,76%
Kentucky,85%,40%
Massachusetts,68%,56%
Nevada,71%,53%
District of Columbia,62%,62%
Maryland,67%,57%
New York,65%,60%
South Dakota,56%,68%
Iowa,51%,73%
Tennessee,72%,52%
Washington,53%,71%
Virginia,72%,52%
Montana,56%,68%
Missouri,71%,53%
New Mexico,33%,91%
Pennsylvania,70%,55%
Illinois,65%,60%
Wyoming,50%,75%
Minnesota,67%,57%
California,71%,53%
Oregon,55%,70%
Colorado,68%,56%
Connecticut,71%,53%
Michigan,52%,72%
Ohio,62%,62%
North Carolina,66%,58%
Idaho,41%,83%
Arizona,68%,56%
Florida,65%,60%
Alaska,62%,62%
Nebraska,46%,78%
Texas,77%,47%
Georgia,65%,60%
Oklahoma,58%,66%
Louisiana,62%,62%
Alabama,58%,66%
South Carolina,63%,61%
Utah,62%,62%
Mississippi,62%,62%
Wisconsin,55%,70%
Hawaii,62%,62%
West Virginia,53%,71%
