Kategorie: Alle Kategorien

Region,Donald Trump: (03.06.16 bis 03.06.16),Hillary Clinton: (03.06.16 bis 03.06.16)
Maine,75%,46%
California,73%,48%
Montana,73%,48%
District of Columbia,79%,42%
Rhode Island,78%,43%
Nevada,92%,29%
New Jersey,79%,42%
Massachusetts,75%,46%
New Mexico,84%,37%
North Dakota,81%,40%
Oregon,65%,56%
Washington,74%,47%
Alaska,50%,71%
Vermont,35%,86%
Pennsylvania,80%,41%
Illinois,78%,43%
South Dakota,76%,45%
Virginia,76%,45%
New York,69%,52%
Indiana,81%,40%
Florida,79%,42%
West Virginia,100%,21%
Maryland,73%,48%
Wisconsin,84%,37%
Tennessee,84%,37%
Wyoming,62%,59%
North Carolina,75%,46%
Utah,71%,50%
Arizona,71%,50%
Delaware,60%,60%
South Carolina,95%,26%
Colorado,65%,56%
Arkansas,80%,41%
Missouri,71%,50%
Kentucky,85%,36%
Georgia,80%,41%
Minnesota,62%,59%
Kansas,75%,46%
Connecticut,59%,62%
Michigan,74%,47%
Ohio,81%,40%
Alabama,73%,48%
Texas,76%,45%
Hawaii,65%,56%
Louisiana,56%,65%
Iowa,69%,52%
Idaho,62%,59%
Oklahoma,63%,58%
New Hampshire,57%,64%
Nebraska,64%,57%
Mississippi,62%,59%
