Kategorie: Alle Kategorien

Region,Donald Trump: (03.10.16 bis 03.10.16),Hillary Clinton: (03.10.16 bis 03.10.16)
Colorado,100%,38%
Maine,93%,45%
Connecticut,90%,48%
Rhode Island,95%,43%
New York,84%,54%
South Dakota,88%,50%
District of Columbia,72%,66%
Massachusetts,86%,52%
Pennsylvania,84%,54%
Michigan,87%,51%
Arizona,91%,47%
Idaho,84%,54%
California,93%,45%
Minnesota,91%,47%
Nevada,88%,50%
New Jersey,84%,54%
Vermont,77%,61%
Ohio,73%,65%
Montana,91%,47%
Virginia,86%,52%
Wyoming,81%,56%
Illinois,88%,50%
Florida,86%,52%
Utah,97%,41%
Indiana,87%,51%
Wisconsin,90%,48%
New Mexico,72%,66%
Delaware,84%,54%
Oregon,95%,43%
Maryland,83%,55%
Missouri,81%,56%
Oklahoma,80%,58%
Iowa,79%,59%
Arkansas,76%,62%
North Carolina,81%,56%
West Virginia,75%,63%
Texas,87%,51%
Nebraska,79%,59%
Georgia,81%,56%
Mississippi,84%,54%
Tennessee,75%,63%
Washington,77%,61%
Kansas,97%,41%
Kentucky,83%,55%
Alabama,76%,62%
Alaska,98%,40%
New Hampshire,79%,59%
South Carolina,81%,56%
Louisiana,77%,61%
North Dakota,84%,54%
Hawaii,73%,65%
