Kategorie: Alle Kategorien

Region,Donald Trump: (31.05.16 bis 31.05.16),Hillary Clinton: (31.05.16 bis 31.05.16)
New Hampshire,90%,30%
North Dakota,89%,31%
Rhode Island,98%,21%
New Mexico,83%,37%
District of Columbia,79%,40%
Virginia,83%,37%
Oregon,81%,38%
New Jersey,71%,49%
South Dakota,66%,54%
Iowa,91%,28%
Wyoming,81%,38%
New York,75%,44%
Connecticut,87%,32%
California,75%,44%
Hawaii,85%,34%
West Virginia,72%,48%
Pennsylvania,75%,44%
Maryland,84%,36%
South Carolina,91%,28%
Vermont,54%,66%
Georgia,78%,42%
Michigan,79%,40%
Nevada,68%,51%
Arizona,75%,44%
Idaho,67%,53%
Florida,84%,36%
Massachusetts,66%,54%
Minnesota,81%,38%
Wisconsin,72%,48%
Utah,78%,42%
Delaware,73%,46%
Ohio,84%,36%
Illinois,75%,44%
Texas,77%,43%
Tennessee,74%,45%
Alabama,80%,39%
Indiana,81%,38%
Kentucky,92%,27%
Washington,71%,49%
Kansas,77%,43%
Louisiana,90%,30%
Alaska,80%,39%
Maine,65%,55%
Arkansas,100%,20%
Montana,86%,33%
North Carolina,77%,43%
Nebraska,79%,40%
Mississippi,81%,38%
Colorado,67%,53%
Oklahoma,71%,49%
Missouri,62%,57%
