Kategorie: Alle Kategorien

Region,Donald Trump: (05.05.16 bis 05.05.16),Hillary Clinton: (05.05.16 bis 05.05.16)
West Virginia,100%,9%
District of Columbia,82%,27%
North Dakota,84%,25%
Rhode Island,78%,31%
Connecticut,85%,24%
Nebraska,97%,12%
New Hampshire,82%,27%
Vermont,80%,29%
Indiana,83%,26%
New Jersey,83%,26%
Idaho,80%,29%
Pennsylvania,78%,31%
New York,81%,28%
Wyoming,84%,25%
Missouri,81%,28%
Massachusetts,78%,31%
Washington,70%,39%
Maryland,74%,35%
Montana,93%,16%
California,76%,32%
Oregon,69%,40%
Virginia,79%,30%
Michigan,78%,31%
Louisiana,84%,25%
Wisconsin,80%,29%
Nevada,79%,30%
Kentucky,73%,36%
Florida,79%,30%
Arizona,76%,32%
Oklahoma,76%,32%
Utah,81%,28%
Minnesota,78%,31%
Kansas,81%,28%
Colorado,83%,26%
Illinois,76%,32%
Texas,81%,28%
Iowa,78%,31%
Tennessee,78%,31%
Ohio,80%,29%
Maine,71%,38%
North Carolina,79%,30%
Georgia,78%,31%
South Carolina,80%,29%
Mississippi,73%,36%
New Mexico,84%,25%
Arkansas,82%,27%
South Dakota,69%,40%
Alabama,79%,30%
Alaska,60%,49%
Hawaii,71%,38%
Delaware,57%,52%
