Kategorie: Alle Kategorien

Region,Donald Trump: (03.11.16 bis 03.11.16),Hillary Clinton: (03.11.16 bis 03.11.16)
Delaware,71%,84%
Pennsylvania,73%,82%
Arkansas,68%,87%
West Virginia,87%,68%
Arizona,56%,100%
Rhode Island,64%,92%
North Carolina,73%,82%
Michigan,67%,89%
Florida,71%,84%
New Jersey,76%,79%
Nevada,71%,84%
District of Columbia,73%,82%
Alabama,60%,95%
New Hampshire,78%,78%
Maine,65%,90%
Connecticut,75%,81%
New York,70%,85%
Iowa,73%,82%
Kentucky,67%,89%
South Carolina,70%,85%
Mississippi,67%,89%
North Dakota,68%,87%
Tennessee,65%,90%
Oklahoma,70%,85%
Indiana,73%,82%
Vermont,71%,84%
Kansas,65%,90%
Ohio,70%,85%
Montana,67%,89%
Virginia,68%,87%
Minnesota,73%,82%
Massachusetts,68%,87%
Texas,68%,87%
Washington,67%,89%
Georgia,70%,85%
Missouri,78%,78%
South Dakota,78%,78%
Utah,57%,98%
Maryland,75%,81%
Wisconsin,79%,76%
Colorado,67%,89%
California,70%,85%
Nebraska,68%,87%
Louisiana,71%,84%
New Mexico,68%,87%
Idaho,56%,100%
Alaska,85%,70%
Hawaii,67%,89%
Illinois,71%,84%
Oregon,75%,81%
Wyoming,71%,84%
