Kategorie: Alle Kategorien

Region,Donald Trump: (16.03.16 bis 16.03.16),Hillary Clinton: (16.03.16 bis 16.03.16)
Missouri,79%,37%
Illinois,74%,41%
Ohio,79%,37%
Florida,83%,32%
North Carolina,83%,32%
Vermont,77%,38%
West Virginia,88%,27%
New Hampshire,86%,30%
District of Columbia,83%,32%
New Jersey,83%,32%
Indiana,93%,23%
New York,84%,31%
Mississippi,100%,16%
Pennsylvania,87%,29%
Connecticut,83%,32%
Arizona,88%,27%
Kentucky,88%,27%
Nebraska,83%,32%
Tennessee,93%,23%
South Carolina,93%,23%
Massachusetts,82%,33%
Michigan,83%,32%
Delaware,97%,18%
Oregon,89%,26%
Alabama,90%,25%
Wyoming,94%,22%
California,83%,32%
Utah,86%,30%
Georgia,86%,30%
Texas,87%,29%
Louisiana,82%,33%
Maryland,83%,32%
Virginia,79%,37%
North Dakota,95%,20%
Wisconsin,89%,26%
Iowa,87%,29%
Washington,79%,37%
Oklahoma,86%,30%
Maine,95%,20%
South Dakota,81%,34%
Minnesota,83%,32%
Kansas,79%,37%
Colorado,86%,30%
Rhode Island,79%,37%
New Mexico,83%,32%
Nevada,86%,30%
Arkansas,70%,45%
Montana,72%,44%
Idaho,79%,37%
Alaska,87%,29%
Hawaii,80%,36%
