Kategorie: Alle Kategorien

Region,Donald Trump: (03.04.16 bis 03.04.16),Hillary Clinton: (03.04.16 bis 03.04.16)
Montana,91%,30%
Wisconsin,90%,31%
North Dakota,86%,35%
Connecticut,93%,28%
New Hampshire,97%,24%
New Jersey,93%,28%
Idaho,82%,39%
New York,89%,32%
Pennsylvania,91%,30%
California,91%,30%
Indiana,96%,25%
Illinois,89%,32%
South Dakota,92%,29%
Tennessee,97%,24%
Wyoming,63%,58%
Oregon,75%,46%
Nevada,97%,24%
Minnesota,90%,31%
District of Columbia,82%,39%
Florida,89%,32%
Hawaii,95%,26%
Oklahoma,96%,25%
Massachusetts,82%,39%
Maryland,92%,29%
Iowa,76%,45%
West Virginia,91%,30%
Kentucky,100%,21%
Arizona,91%,30%
Missouri,92%,29%
Alaska,69%,52%
Ohio,90%,31%
Alabama,95%,26%
North Carolina,90%,31%
Texas,91%,30%
Washington,75%,46%
Utah,92%,29%
Michigan,87%,34%
Vermont,69%,52%
Rhode Island,80%,41%
Louisiana,92%,29%
Virginia,82%,39%
Arkansas,80%,41%
Mississippi,85%,36%
South Carolina,98%,23%
Kansas,82%,39%
Colorado,82%,39%
New Mexico,73%,48%
Georgia,91%,30%
Delaware,69%,52%
Nebraska,95%,26%
Maine,47%,74%
