Kategorie: Alle Kategorien

Region,Donald Trump: (12.01.16 bis 12.01.16),Hillary Clinton: (12.01.16 bis 12.01.16)
New Hampshire,76%,39%
Vermont,86%,30%
Iowa,67%,48%
Nebraska,93%,23%
Rhode Island,76%,39%
Maine,91%,24%
Wyoming,77%,38%
Delaware,94%,22%
North Dakota,88%,27%
Massachusetts,84%,31%
Arkansas,80%,36%
New Jersey,82%,33%
Connecticut,69%,46%
West Virginia,81%,34%
District of Columbia,67%,48%
Minnesota,100%,16%
New York,75%,40%
Maryland,89%,26%
South Carolina,86%,30%
Idaho,81%,34%
Michigan,90%,25%
Missouri,89%,26%
Indiana,83%,32%
North Carolina,82%,33%
California,82%,33%
South Dakota,83%,32%
Virginia,77%,38%
Wisconsin,80%,36%
Kentucky,83%,32%
Illinois,81%,34%
Oregon,76%,39%
Utah,72%,44%
Washington,75%,40%
Montana,67%,48%
Georgia,94%,22%
Florida,75%,40%
Louisiana,72%,44%
Alaska,70%,45%
Texas,80%,36%
Pennsylvania,67%,48%
New Mexico,91%,24%
Ohio,75%,40%
Tennessee,76%,39%
Nevada,73%,43%
Colorado,74%,41%
Arizona,88%,27%
Kansas,74%,41%
Oklahoma,76%,39%
Mississippi,63%,52%
Alabama,79%,37%
Hawaii,79%,37%
