Kategorie: Alle Kategorien

Region,Donald Trump: (07.08.16 bis 07.08.16),Hillary Clinton: (07.08.16 bis 07.08.16)
New Hampshire,89%,29%
Wyoming,90%,28%
New Jersey,84%,34%
Maine,77%,41%
Alaska,88%,30%
Connecticut,80%,38%
Minnesota,86%,32%
Vermont,72%,46%
Oklahoma,80%,38%
Rhode Island,100%,19%
New York,78%,40%
Nevada,80%,38%
Indiana,75%,44%
Pennsylvania,75%,44%
Kentucky,83%,35%
Massachusetts,73%,45%
California,80%,38%
Mississippi,66%,52%
District of Columbia,72%,46%
North Carolina,76%,42%
Missouri,85%,33%
Nebraska,66%,52%
South Carolina,77%,41%
South Dakota,66%,52%
Ohio,70%,48%
Michigan,75%,44%
Virginia,75%,44%
Colorado,78%,40%
Maryland,71%,47%
West Virginia,83%,35%
Idaho,67%,51%
Georgia,71%,47%
Texas,77%,41%
Arkansas,75%,44%
Florida,73%,45%
Arizona,72%,46%
Kansas,77%,41%
Utah,75%,44%
Tennessee,73%,45%
Illinois,70%,48%
Washington,79%,39%
North Dakota,52%,66%
Delaware,48%,70%
Oregon,76%,42%
Iowa,78%,40%
Louisiana,67%,51%
Montana,34%,84%
Alabama,73%,45%
New Mexico,73%,45%
Hawaii,69%,50%
Wisconsin,61%,57%
