Kategorie: Alle Kategorien

Region,Donald Trump: (29.07.16 bis 29.07.16),Hillary Clinton: (29.07.16 bis 29.07.16)
Vermont,35%,100%
District of Columbia,41%,93%
New Jersey,44%,90%
Pennsylvania,41%,93%
Delaware,40%,94%
New York,44%,90%
Massachusetts,44%,90%
Maryland,44%,90%
California,44%,90%
West Virginia,37%,97%
Colorado,51%,83%
Connecticut,43%,91%
Illinois,43%,91%
Washington,43%,91%
Virginia,44%,90%
Oregon,43%,91%
Kansas,41%,93%
Minnesota,50%,85%
New Hampshire,48%,86%
Ohio,48%,86%
Maine,41%,93%
Louisiana,43%,91%
Arizona,47%,87%
Iowa,51%,83%
New Mexico,54%,81%
Kentucky,52%,82%
Wisconsin,47%,87%
Missouri,44%,90%
Rhode Island,44%,90%
Florida,51%,83%
Texas,50%,85%
Michigan,50%,85%
Mississippi,50%,85%
Indiana,43%,91%
Nebraska,45%,89%
Tennessee,48%,86%
Oklahoma,54%,81%
North Carolina,51%,83%
Hawaii,39%,95%
Georgia,52%,82%
Montana,50%,85%
Wyoming,43%,91%
South Dakota,37%,97%
South Carolina,51%,83%
Utah,43%,91%
Arkansas,44%,90%
Nevada,56%,78%
North Dakota,35%,100%
Alaska,40%,94%
Alabama,59%,75%
Idaho,36%,98%
