Kategorie: Alle Kategorien

Region,Donald Trump: (09.03.16 bis 09.03.16),Hillary Clinton: (09.03.16 bis 09.03.16)
Michigan,83%,37%
Mississippi,92%,27%
Hawaii,98%,21%
New Jersey,93%,26%
Missouri,90%,30%
Montana,93%,26%
Ohio,89%,31%
Illinois,86%,33%
Alabama,91%,28%
Massachusetts,86%,33%
Florida,87%,32%
New York,90%,30%
Indiana,95%,25%
New Hampshire,95%,25%
North Carolina,86%,33%
Maine,90%,30%
Pennsylvania,90%,30%
Connecticut,92%,27%
District of Columbia,81%,38%
Kentucky,91%,28%
Kansas,90%,30%
Iowa,95%,25%
Minnesota,91%,28%
Utah,96%,24%
West Virginia,92%,27%
South Carolina,100%,20%
Georgia,92%,27%
Tennessee,90%,30%
Louisiana,85%,34%
Oklahoma,95%,25%
Nevada,80%,39%
California,85%,34%
Maryland,85%,34%
Vermont,79%,40%
Nebraska,93%,26%
North Dakota,86%,33%
New Mexico,90%,30%
Virginia,86%,33%
Oregon,81%,38%
Idaho,92%,27%
Texas,93%,26%
South Dakota,90%,30%
Washington,84%,36%
Rhode Island,84%,36%
Wisconsin,84%,36%
Delaware,65%,55%
Alaska,78%,42%
Colorado,77%,43%
Arkansas,81%,38%
Wyoming,62%,57%
Arizona,79%,40%
