Kategorie: Alle Kategorien

Region,Donald Trump: (27.04.16 bis 27.04.16),Hillary Clinton: (27.04.16 bis 27.04.16)
Pennsylvania,74%,40%
Rhode Island,67%,47%
District of Columbia,66%,48%
Maryland,78%,36%
West Virginia,98%,16%
Connecticut,67%,47%
Indiana,83%,31%
Delaware,79%,35%
New Jersey,80%,34%
Vermont,42%,72%
Massachusetts,78%,36%
New York,78%,36%
Kentucky,81%,33%
Nebraska,94%,20%
Wyoming,93%,21%
Florida,82%,32%
Virginia,85%,29%
North Dakota,91%,22%
Alabama,87%,27%
Ohio,85%,29%
South Dakota,86%,28%
New Mexico,100%,14%
Maine,70%,44%
Arizona,82%,32%
Tennessee,89%,25%
North Carolina,83%,31%
California,78%,36%
Louisiana,81%,33%
New Hampshire,67%,47%
Utah,89%,25%
Texas,87%,27%
Illinois,77%,37%
Minnesota,80%,34%
Mississippi,86%,28%
Oklahoma,86%,28%
South Carolina,80%,34%
Iowa,78%,36%
Michigan,75%,39%
Oregon,77%,37%
Wisconsin,78%,36%
Idaho,90%,24%
Kansas,72%,42%
Washington,71%,43%
Missouri,80%,34%
Nevada,81%,33%
Georgia,81%,33%
Alaska,78%,36%
Colorado,72%,42%
Montana,75%,39%
Arkansas,88%,26%
Hawaii,67%,47%
