Kategorie: Alle Kategorien

Region,Donald Trump: (21.03.16 bis 21.03.16),Hillary Clinton: (21.03.16 bis 21.03.16)
Delaware,100%,8%
District of Columbia,84%,23%
Arizona,80%,28%
Kentucky,88%,20%
New Jersey,91%,17%
North Dakota,89%,19%
Vermont,93%,15%
Oklahoma,84%,23%
Rhode Island,88%,20%
Maine,92%,16%
New York,83%,25%
Maryland,88%,20%
Mississippi,100%,8%
North Carolina,86%,21%
Connecticut,96%,11%
California,85%,22%
Pennsylvania,88%,20%
Oregon,83%,25%
Michigan,91%,17%
Utah,81%,27%
Missouri,84%,23%
Illinois,81%,27%
Florida,86%,21%
Washington,63%,45%
West Virginia,79%,29%
Idaho,94%,14%
New Mexico,96%,11%
Virginia,85%,22%
Tennessee,91%,17%
Alabama,80%,28%
Wyoming,67%,41%
Ohio,90%,18%
Nebraska,94%,14%
South Dakota,90%,18%
Louisiana,88%,20%
Georgia,91%,17%
Colorado,84%,23%
South Carolina,91%,17%
Iowa,89%,19%
Massachusetts,79%,29%
Kansas,83%,25%
Minnesota,89%,19%
Alaska,71%,36%
Texas,86%,21%
Nevada,77%,31%
Wisconsin,76%,32%
New Hampshire,79%,29%
Arkansas,77%,31%
Indiana,81%,27%
Montana,66%,42%
Hawaii,77%,31%
