Kategorie: Alle Kategorien

Region,Donald Trump: (12.10.16 bis 12.10.16),Hillary Clinton: (12.10.16 bis 12.10.16)
District of Columbia,90%,48%
Rhode Island,100%,38%
Connecticut,90%,48%
Delaware,73%,65%
Florida,88%,50%
Maine,79%,59%
Pennsylvania,86%,52%
Massachusetts,93%,45%
New Jersey,86%,52%
Virginia,91%,47%
Nevada,87%,51%
New Hampshire,88%,50%
Idaho,88%,50%
Ohio,84%,54%
Washington,93%,45%
Maryland,97%,41%
New York,88%,50%
California,93%,45%
Wyoming,77%,61%
Missouri,86%,52%
Michigan,87%,51%
Arkansas,88%,50%
Georgia,90%,48%
North Carolina,86%,52%
Minnesota,81%,56%
Alabama,84%,54%
Louisiana,86%,52%
Montana,84%,54%
Iowa,88%,50%
Wisconsin,87%,51%
Illinois,87%,51%
Tennessee,84%,54%
Indiana,83%,55%
Arizona,91%,47%
Oklahoma,84%,54%
Texas,84%,54%
Colorado,80%,58%
South Carolina,88%,50%
Kansas,84%,54%
Vermont,100%,38%
West Virginia,80%,58%
Utah,86%,52%
Kentucky,81%,56%
Mississippi,77%,61%
Oregon,83%,55%
North Dakota,61%,77%
New Mexico,80%,58%
South Dakota,95%,43%
Alaska,68%,70%
Nebraska,79%,59%
Hawaii,76%,62%
