Kategorie: Alle Kategorien

Region,Donald Trump: (19.01.16 bis 19.01.16),Hillary Clinton: (19.01.16 bis 19.01.16)
New Hampshire,81%,33%
Iowa,86%,28%
Vermont,91%,22%
Rhode Island,100%,14%
Oklahoma,100%,14%
South Dakota,96%,18%
Wyoming,70%,44%
Kentucky,87%,27%
Nebraska,88%,26%
Virginia,83%,31%
Missouri,85%,29%
Minnesota,82%,32%
Massachusetts,82%,32%
New Jersey,83%,31%
Kansas,97%,17%
Montana,90%,24%
New York,79%,35%
Connecticut,88%,26%
Pennsylvania,89%,25%
Florida,85%,29%
Illinois,85%,29%
Wisconsin,95%,19%
North Carolina,86%,28%
Arizona,75%,39%
South Carolina,81%,33%
Georgia,89%,25%
West Virginia,64%,50%
District of Columbia,72%,42%
Alaska,43%,71%
Tennessee,78%,36%
Alabama,78%,36%
Nevada,70%,44%
Maine,87%,27%
Oregon,80%,34%
California,80%,34%
North Dakota,72%,42%
Colorado,75%,39%
Indiana,86%,28%
Michigan,88%,26%
Maryland,75%,39%
Texas,77%,37%
New Mexico,75%,39%
Washington,74%,40%
Arkansas,90%,24%
Ohio,79%,35%
Utah,81%,33%
Louisiana,83%,31%
Delaware,83%,31%
Mississippi,82%,32%
Idaho,63%,51%
Hawaii,78%,36%
