Kategorie: Alle Kategorien

Region,Donald Trump: (22.09.16 bis 22.09.16),Hillary Clinton: (22.09.16 bis 22.09.16)
South Dakota,47%,97%
Arkansas,57%,86%
New Hampshire,79%,65%
Pennsylvania,81%,63%
Maine,72%,72%
Kentucky,82%,62%
New Jersey,86%,57%
Wyoming,79%,65%
Oklahoma,59%,85%
New York,68%,76%
Mississippi,60%,84%
Ohio,79%,65%
Connecticut,82%,62%
Nevada,88%,56%
District of Columbia,69%,75%
Florida,76%,68%
Indiana,79%,65%
Minnesota,66%,78%
Virginia,78%,66%
Nebraska,44%,100%
Idaho,86%,57%
Georgia,86%,57%
Maryland,76%,68%
Montana,62%,82%
Michigan,72%,72%
Tennessee,65%,79%
North Carolina,76%,68%
Alaska,57%,86%
Colorado,78%,66%
Illinois,72%,72%
California,73%,71%
Massachusetts,76%,68%
Missouri,69%,75%
Washington,81%,63%
Rhode Island,72%,72%
Oregon,75%,69%
Wisconsin,69%,75%
Alabama,75%,69%
Utah,71%,73%
Arizona,73%,71%
Delaware,84%,60%
Iowa,68%,76%
South Carolina,75%,69%
Texas,78%,66%
North Dakota,63%,81%
West Virginia,72%,72%
Vermont,97%,47%
Louisiana,62%,82%
New Mexico,68%,76%
Hawaii,72%,72%
Kansas,63%,81%
