Kategorie: Alle Kategorien

Region,Donald Trump: (14.07.16 bis 14.07.16),Hillary Clinton: (14.07.16 bis 14.07.16)
New Hampshire,100%,19%
Vermont,55%,63%
Indiana,71%,47%
Pennsylvania,79%,39%
New Jersey,76%,42%
New York,73%,45%
Massachusetts,73%,45%
Rhode Island,79%,39%
Nevada,84%,34%
District of Columbia,64%,54%
Connecticut,69%,50%
Alabama,80%,38%
Kentucky,75%,44%
Louisiana,88%,30%
Illinois,73%,45%
Washington,72%,46%
Maine,63%,55%
Florida,72%,46%
Virginia,72%,46%
Alaska,79%,39%
South Carolina,80%,38%
Wyoming,60%,58%
West Virginia,54%,64%
Georgia,77%,41%
Ohio,71%,47%
Michigan,83%,35%
California,76%,42%
Missouri,70%,48%
Arizona,72%,46%
Oklahoma,79%,39%
Idaho,70%,48%
Tennessee,72%,46%
Wisconsin,79%,39%
Maryland,65%,53%
New Mexico,71%,47%
South Dakota,75%,44%
North Carolina,79%,39%
Mississippi,61%,57%
Iowa,73%,45%
Colorado,72%,46%
Hawaii,85%,33%
Texas,75%,44%
Oregon,73%,45%
Minnesota,64%,54%
Delaware,40%,78%
Nebraska,67%,51%
Utah,60%,58%
Arkansas,89%,29%
Montana,85%,33%
North Dakota,39%,79%
Kansas,55%,63%
