Kategorie: Alle Kategorien

Region,Donald Trump: (04.11.16 bis 04.11.16),Hillary Clinton: (04.11.16 bis 04.11.16)
Vermont,71%,87%
Pennsylvania,73%,85%
Nebraska,68%,90%
Arkansas,66%,92%
Michigan,68%,90%
New Jersey,74%,84%
Missouri,66%,92%
Ohio,76%,82%
New York,71%,87%
Florida,73%,85%
North Carolina,73%,85%
Mississippi,60%,98%
Tennessee,66%,92%
Minnesota,63%,95%
Rhode Island,69%,88%
District of Columbia,74%,84%
Kansas,82%,76%
Nevada,88%,69%
Delaware,100%,58%
Kentucky,61%,96%
West Virginia,76%,82%
Hawaii,68%,90%
Maine,69%,88%
Iowa,88%,69%
South Carolina,79%,79%
New Hampshire,69%,88%
Massachusetts,74%,84%
Wisconsin,69%,88%
Indiana,77%,80%
Virginia,66%,92%
Arizona,73%,85%
Maryland,77%,80%
Alaska,68%,90%
Alabama,82%,76%
Connecticut,73%,85%
Illinois,73%,85%
Texas,73%,85%
North Dakota,85%,73%
Louisiana,79%,79%
California,71%,87%
Georgia,76%,82%
Oklahoma,69%,88%
Washington,68%,90%
Montana,88%,69%
Colorado,74%,84%
Oregon,77%,80%
South Dakota,82%,76%
New Mexico,87%,71%
Utah,77%,80%
Idaho,84%,74%
Wyoming,66%,92%
