Kategorie: Alle Kategorien

Region,Donald Trump: (21.06.16 bis 21.06.16),Hillary Clinton: (21.06.16 bis 21.06.16)
Vermont,70%,44%
Iowa,86%,28%
Rhode Island,89%,25%
Delaware,100%,14%
New Jersey,87%,27%
District of Columbia,66%,48%
South Dakota,93%,21%
Montana,96%,18%
Connecticut,82%,32%
California,80%,34%
New York,80%,34%
Nevada,89%,25%
New Hampshire,81%,33%
Maryland,79%,35%
South Carolina,90%,24%
Nebraska,97%,17%
Massachusetts,81%,33%
Florida,78%,36%
Minnesota,75%,39%
Kentucky,91%,22%
New Mexico,85%,29%
North Carolina,85%,29%
Pennsylvania,78%,36%
West Virginia,85%,29%
Maine,71%,43%
Hawaii,63%,51%
Tennessee,86%,28%
Texas,81%,33%
Alaska,52%,62%
Illinois,79%,35%
Arizona,80%,34%
Alabama,87%,27%
Colorado,80%,34%
Michigan,80%,34%
Indiana,75%,39%
Virginia,74%,40%
Georgia,79%,35%
Idaho,62%,52%
Oregon,63%,51%
Wisconsin,83%,31%
Washington,67%,47%
Ohio,66%,48%
Mississippi,81%,33%
Arkansas,67%,47%
Louisiana,79%,35%
Wyoming,58%,56%
Utah,86%,28%
Missouri,78%,36%
Kansas,58%,56%
North Dakota,66%,48%
Oklahoma,64%,50%
