Kategorie: Alle Kategorien

Region,Donald Trump: (18.10.16 bis 18.10.16),Hillary Clinton: (18.10.16 bis 18.10.16)
Alaska,100%,31%
New Jersey,82%,48%
District of Columbia,81%,50%
Maine,84%,47%
New Hampshire,86%,44%
Colorado,94%,36%
Pennsylvania,81%,50%
Maryland,89%,42%
Arkansas,81%,50%
West Virginia,86%,44%
New York,81%,50%
Indiana,93%,38%
Idaho,88%,43%
Massachusetts,80%,51%
Florida,84%,47%
Georgia,84%,47%
Delaware,73%,57%
California,88%,43%
Tennessee,76%,55%
Alabama,86%,44%
Michigan,84%,47%
Kentucky,85%,46%
Vermont,86%,44%
Connecticut,75%,56%
Ohio,76%,55%
Illinois,80%,51%
Wyoming,76%,55%
Montana,98%,32%
New Mexico,97%,34%
Nebraska,77%,53%
South Carolina,75%,56%
Wisconsin,84%,47%
Oregon,75%,56%
Washington,80%,51%
North Carolina,73%,57%
Kansas,80%,51%
Minnesota,85%,46%
Arizona,77%,53%
Virginia,77%,53%
Texas,81%,50%
Rhode Island,78%,52%
Missouri,76%,55%
Louisiana,80%,51%
Mississippi,71%,60%
Iowa,64%,67%
Hawaii,93%,38%
Nevada,72%,59%
Utah,59%,72%
Oklahoma,65%,65%
South Dakota,71%,60%
North Dakota,72%,59%
