Kategorie: Alle Kategorien

Region,Donald Trump: (31.01.16 bis 31.01.16),Hillary Clinton: (31.01.16 bis 31.01.16)
Iowa,68%,45%
New Hampshire,81%,33%
Delaware,100%,14%
Missouri,91%,22%
North Dakota,78%,36%
West Virginia,96%,18%
Nebraska,86%,28%
Oklahoma,90%,24%
Kentucky,93%,21%
Florida,93%,21%
Minnesota,87%,27%
North Carolina,89%,25%
New York,83%,31%
Connecticut,82%,32%
Pennsylvania,83%,31%
Maine,91%,22%
Tennessee,86%,28%
Virginia,80%,34%
Mississippi,82%,32%
New Jersey,85%,29%
South Carolina,87%,27%
Indiana,91%,22%
Massachusetts,77%,37%
Illinois,77%,37%
Texas,88%,26%
Utah,89%,25%
Michigan,81%,33%
Nevada,82%,32%
Arizona,79%,35%
Maryland,78%,36%
California,80%,34%
Ohio,83%,31%
New Mexico,78%,36%
Georgia,86%,28%
Oregon,74%,40%
Washington,88%,26%
Alabama,78%,36%
Wisconsin,79%,35%
Idaho,62%,52%
District of Columbia,58%,56%
Alaska,58%,56%
South Dakota,78%,36%
Colorado,73%,41%
Vermont,77%,37%
Montana,51%,63%
Louisiana,74%,40%
Hawaii,85%,29%
Kansas,79%,35%
Wyoming,59%,55%
Arkansas,62%,52%
Rhode Island,43%,71%
