Kategorie: Alle Kategorien

Region,Donald Trump: (08.11.16 bis 08.11.16),Hillary Clinton: (08.11.16 bis 08.11.16)
New Jersey,75%,69%
Indiana,76%,68%
Pennsylvania,69%,75%
West Virginia,85%,59%
New York,68%,76%
District of Columbia,69%,75%
North Dakota,85%,59%
Michigan,76%,68%
Maine,88%,56%
Alabama,75%,69%
Louisiana,82%,62%
Mississippi,76%,68%
Ohio,75%,69%
Connecticut,71%,73%
Delaware,69%,75%
Arkansas,72%,72%
New Mexico,66%,78%
Wisconsin,76%,68%
Massachusetts,68%,76%
Rhode Island,75%,69%
North Carolina,73%,71%
Missouri,76%,68%
Minnesota,75%,69%
Georgia,73%,71%
Florida,72%,72%
Illinois,73%,71%
South Dakota,100%,44%
Maryland,69%,75%
South Carolina,72%,72%
California,69%,75%
Tennessee,78%,66%
Kentucky,72%,72%
New Hampshire,73%,71%
Vermont,66%,78%
Nevada,75%,69%
Iowa,73%,71%
Oklahoma,76%,68%
Texas,72%,72%
Arizona,76%,68%
Nebraska,73%,71%
Virginia,71%,73%
Wyoming,73%,71%
Kansas,78%,66%
Utah,75%,69%
Colorado,72%,72%
Montana,65%,79%
Idaho,76%,68%
Hawaii,71%,73%
Washington,75%,69%
Oregon,73%,71%
Alaska,88%,56%
