Kategorie: Alle Kategorien

Region,Donald Trump: (03.08.16 bis 03.08.16),Hillary Clinton: (03.08.16 bis 03.08.16)
District of Columbia,79%,32%
Connecticut,79%,32%
New Jersey,84%,28%
Pennsylvania,85%,26%
Rhode Island,79%,32%
New York,82%,30%
Massachusetts,86%,25%
Delaware,85%,26%
Virginia,83%,29%
Wisconsin,86%,25%
Florida,83%,29%
Vermont,77%,34%
Georgia,82%,30%
Ohio,82%,30%
California,80%,31%
Illinois,79%,32%
Iowa,79%,32%
Maryland,85%,26%
Oregon,77%,34%
Nebraska,75%,37%
Kansas,77%,34%
Minnesota,86%,25%
Maine,60%,51%
New Mexico,93%,19%
Washington,74%,38%
Arizona,76%,35%
Kentucky,77%,34%
Nevada,82%,30%
Missouri,83%,29%
West Virginia,80%,31%
Tennessee,73%,39%
South Carolina,77%,34%
Michigan,80%,31%
North Carolina,76%,35%
South Dakota,71%,40%
North Dakota,64%,48%
Texas,83%,29%
Hawaii,100%,12%
Oklahoma,82%,30%
Alabama,77%,34%
Utah,88%,23%
Montana,91%,21%
New Hampshire,57%,55%
Mississippi,71%,40%
Louisiana,82%,30%
Colorado,61%,50%
Indiana,82%,30%
Alaska,50%,61%
Wyoming,46%,66%
Arkansas,66%,46%
Idaho,73%,39%
