Kategorie: Alle Kategorien

Region,Donald Trump: (19.10.16 bis 19.10.16),Hillary Clinton: (19.10.16 bis 19.10.16)
New Hampshire,78%,48%
New Jersey,77%,49%
Delaware,84%,41%
Pennsylvania,75%,50%
Kentucky,77%,49%
Hawaii,82%,44%
New York,75%,50%
Connecticut,73%,53%
West Virginia,69%,56%
District of Columbia,73%,53%
South Dakota,100%,26%
Washington,78%,48%
Ohio,74%,51%
Maine,84%,41%
Montana,74%,51%
Virginia,78%,48%
Massachusetts,73%,53%
Nevada,65%,60%
Wyoming,86%,40%
Tennessee,74%,51%
Oregon,79%,46%
Florida,77%,49%
California,74%,51%
Minnesota,79%,46%
Indiana,72%,54%
Mississippi,77%,49%
Arizona,70%,55%
Illinois,77%,49%
Rhode Island,75%,50%
North Carolina,73%,53%
Wisconsin,74%,51%
Missouri,74%,51%
Idaho,70%,55%
Maryland,74%,51%
Iowa,72%,54%
Michigan,72%,54%
Arkansas,81%,45%
Georgia,70%,55%
Nebraska,73%,53%
South Carolina,69%,56%
New Mexico,70%,55%
Texas,70%,55%
Alabama,64%,62%
Colorado,70%,55%
Oklahoma,64%,62%
Vermont,64%,62%
Louisiana,78%,48%
Utah,65%,60%
Alaska,59%,67%
Kansas,68%,58%
North Dakota,29%,97%
