Kategorie: Alle Kategorien

Region,Donald Trump: (18.01.16 bis 18.01.16),Hillary Clinton: (18.01.16 bis 18.01.16)
Vermont,36%,97%
New Hampshire,84%,49%
South Dakota,84%,49%
District of Columbia,81%,52%
Virginia,85%,48%
Iowa,64%,69%
Montana,86%,46%
Maine,92%,41%
Connecticut,81%,52%
Oklahoma,92%,41%
New Jersey,78%,54%
Tennessee,90%,42%
New York,73%,60%
Nevada,94%,38%
Minnesota,77%,56%
Maryland,68%,65%
Wyoming,45%,88%
North Dakota,100%,33%
Oregon,66%,66%
Idaho,100%,33%
Massachusetts,69%,64%
Arkansas,84%,49%
Georgia,80%,53%
Alaska,60%,73%
Nebraska,74%,58%
Mississippi,92%,41%
Washington,76%,57%
Missouri,76%,57%
Florida,77%,56%
North Carolina,74%,58%
New Mexico,64%,69%
Rhode Island,89%,44%
Delaware,48%,85%
Indiana,88%,45%
Michigan,62%,70%
Alabama,96%,37%
California,69%,64%
Texas,78%,54%
West Virginia,93%,40%
Pennsylvania,69%,64%
Utah,84%,49%
Wisconsin,60%,73%
Illinois,69%,64%
South Carolina,62%,70%
Kansas,69%,64%
Arizona,66%,66%
Louisiana,65%,68%
Kentucky,58%,74%
Ohio,73%,60%
Colorado,62%,70%
Hawaii,74%,58%
