Kategorie: Alle Kategorien

Region,Donald Trump: (21.01.16 bis 21.01.16),Hillary Clinton: (21.01.16 bis 21.01.16)
Vermont,88%,30%
Nevada,96%,22%
Iowa,71%,47%
Oklahoma,88%,30%
South Dakota,100%,19%
District of Columbia,90%,28%
Nebraska,82%,36%
North Dakota,84%,34%
Rhode Island,78%,40%
Hawaii,98%,20%
New Hampshire,58%,60%
Alaska,90%,28%
Massachusetts,80%,38%
Georgia,91%,27%
Montana,84%,34%
New Mexico,77%,41%
Tennessee,98%,20%
New York,86%,32%
Minnesota,88%,30%
Washington,80%,38%
South Carolina,84%,34%
New Jersey,88%,30%
Indiana,86%,32%
Virginia,85%,33%
Illinois,88%,30%
Oregon,73%,45%
Pennsylvania,91%,27%
Connecticut,86%,32%
North Carolina,91%,27%
Ohio,85%,33%
Kentucky,84%,34%
Maryland,95%,23%
Arizona,80%,38%
California,84%,34%
Wisconsin,86%,32%
Wyoming,72%,46%
Alabama,89%,29%
Kansas,78%,40%
Texas,84%,34%
Florida,86%,32%
Louisiana,92%,26%
Michigan,76%,42%
Colorado,77%,41%
Missouri,83%,35%
West Virginia,46%,72%
Maine,84%,34%
Utah,91%,27%
Mississippi,85%,33%
Delaware,60%,58%
Arkansas,54%,64%
Idaho,90%,28%
