Kategorie: Alle Kategorien

Region,Donald Trump: (18.08.16 bis 18.08.16),Hillary Clinton: (18.08.16 bis 18.08.16)
Rhode Island,35%,92%
District of Columbia,87%,41%
North Dakota,85%,42%
Louisiana,96%,32%
New York,91%,37%
Connecticut,83%,44%
New Jersey,91%,37%
Georgia,87%,41%
Massachusetts,97%,30%
New Mexico,67%,60%
Pennsylvania,82%,46%
Illinois,91%,37%
Wyoming,85%,42%
Washington,98%,29%
California,83%,44%
South Carolina,78%,50%
Maryland,79%,48%
Virginia,85%,42%
Missouri,91%,37%
Florida,80%,47%
North Carolina,84%,43%
Maine,100%,28%
Nevada,80%,47%
Ohio,71%,56%
Nebraska,76%,51%
Wisconsin,88%,39%
Michigan,85%,42%
Arizona,71%,56%
Indiana,87%,41%
Kentucky,76%,51%
Mississippi,78%,50%
Colorado,78%,50%
Minnesota,76%,51%
Delaware,87%,41%
Alabama,84%,43%
Oregon,82%,46%
Arkansas,84%,43%
Texas,83%,44%
South Dakota,65%,62%
Utah,75%,52%
Hawaii,78%,50%
Iowa,78%,50%
Idaho,60%,67%
Kansas,75%,52%
Alaska,56%,71%
New Hampshire,65%,62%
Vermont,78%,50%
Tennessee,76%,51%
Montana,87%,41%
West Virginia,52%,75%
Oklahoma,76%,51%
