Kategorie: Alle Kategorien

Region,Donald Trump: (19.06.16 bis 19.06.16),Hillary Clinton: (19.06.16 bis 19.06.16)
Wyoming,88%,27%
Alaska,94%,22%
Vermont,88%,27%
District of Columbia,74%,41%
Arizona,84%,31%
Connecticut,83%,32%
New Jersey,75%,40%
Hawaii,77%,38%
Rhode Island,39%,76%
New Hampshire,90%,25%
Maryland,73%,43%
California,73%,43%
New York,70%,45%
Massachusetts,76%,39%
Colorado,70%,45%
New Mexico,88%,27%
Indiana,81%,34%
Washington,73%,43%
South Carolina,84%,31%
Maine,67%,48%
Arkansas,66%,50%
Michigan,70%,45%
Montana,83%,32%
Virginia,74%,41%
Florida,80%,36%
Missouri,80%,36%
Illinois,77%,38%
Texas,80%,36%
Oregon,74%,41%
Georgia,80%,36%
Nebraska,100%,16%
Delaware,59%,56%
Ohio,77%,38%
Minnesota,79%,37%
Utah,75%,40%
Wisconsin,75%,40%
Iowa,59%,56%
Pennsylvania,72%,44%
Kansas,73%,43%
Nevada,76%,39%
Louisiana,76%,39%
North Dakota,58%,58%
Alabama,74%,41%
Kentucky,48%,67%
North Carolina,72%,44%
Tennessee,69%,46%
Oklahoma,74%,41%
Idaho,88%,27%
West Virginia,83%,32%
Mississippi,72%,44%
South Dakota,59%,56%
