Kategorie: Alle Kategorien

Region,Donald Trump: (01.05.16 bis 01.05.16),Hillary Clinton: (01.05.16 bis 01.05.16)
Indiana,94%,19%
Wyoming,82%,30%
Rhode Island,71%,42%
Alaska,89%,23%
New Jersey,93%,20%
District of Columbia,82%,30%
West Virginia,57%,55%
New York,80%,32%
Pennsylvania,86%,27%
Nebraska,76%,37%
California,85%,28%
Maryland,82%,30%
Virginia,76%,37%
South Dakota,57%,55%
Florida,92%,21%
Kentucky,87%,26%
Massachusetts,76%,37%
Washington,78%,35%
Missouri,78%,35%
Illinois,86%,27%
Maine,69%,44%
New Mexico,72%,40%
Nevada,85%,28%
New Hampshire,77%,36%
Connecticut,78%,35%
Minnesota,89%,23%
Louisiana,100%,13%
North Dakota,65%,47%
Montana,82%,30%
Colorado,85%,28%
Wisconsin,76%,37%
Delaware,69%,44%
Arizona,86%,27%
Hawaii,80%,32%
Texas,85%,28%
North Carolina,79%,34%
Georgia,82%,30%
Tennessee,86%,27%
Mississippi,86%,27%
Utah,68%,45%
Ohio,75%,38%
South Carolina,86%,27%
Oregon,80%,32%
Arkansas,81%,31%
Kansas,89%,23%
Idaho,80%,32%
Iowa,82%,30%
Michigan,78%,35%
Oklahoma,95%,18%
Alabama,82%,30%
Vermont,57%,55%
