Kategorie: Alle Kategorien

Region,Donald Trump: (11.06.16 bis 11.06.16),Hillary Clinton: (11.06.16 bis 11.06.16)
North Dakota,85%,42%
Maine,32%,96%
New Hampshire,51%,76%
Vermont,48%,79%
Delaware,44%,83%
Oklahoma,70%,57%
New Mexico,65%,62%
Indiana,78%,50%
New Jersey,52%,75%
Alaska,28%,100%
Montana,78%,50%
Arizona,56%,71%
Iowa,35%,92%
Maryland,62%,65%
South Dakota,32%,96%
Mississippi,47%,80%
California,58%,69%
Virginia,66%,61%
Oregon,52%,75%
Arkansas,55%,73%
Pennsylvania,60%,67%
Massachusetts,60%,67%
Kansas,48%,79%
Wisconsin,51%,76%
Idaho,76%,51%
Washington,61%,66%
Rhode Island,64%,64%
Nevada,64%,64%
District of Columbia,67%,60%
Florida,66%,61%
Alabama,47%,80%
West Virginia,66%,61%
Missouri,57%,70%
Louisiana,57%,70%
Kentucky,58%,69%
Connecticut,58%,69%
Colorado,58%,69%
Michigan,61%,66%
Minnesota,57%,70%
New York,64%,64%
Hawaii,55%,73%
Illinois,66%,61%
Utah,57%,70%
Texas,60%,67%
Nebraska,67%,60%
Ohio,64%,64%
North Carolina,60%,67%
Tennessee,60%,67%
Georgia,61%,66%
South Carolina,55%,73%
Wyoming,,
