Kategorie: Alle Kategorien

Region,Donald Trump: (08.08.16 bis 08.08.16),Hillary Clinton: (08.08.16 bis 08.08.16)
Wyoming,93%,43%
New Hampshire,95%,41%
North Dakota,98%,38%
Rhode Island,98%,38%
Michigan,93%,43%
Maryland,95%,41%
District of Columbia,78%,58%
West Virginia,91%,45%
Massachusetts,84%,52%
Indiana,90%,46%
California,90%,46%
Nevada,89%,47%
New Jersey,82%,54%
Maine,82%,54%
Arizona,82%,54%
Mississippi,100%,36%
Washington,84%,52%
New York,83%,53%
Connecticut,90%,46%
Florida,78%,58%
Pennsylvania,83%,53%
North Carolina,84%,52%
Illinois,90%,46%
Kentucky,79%,57%
Louisiana,83%,53%
Alabama,89%,47%
Ohio,84%,52%
Virginia,83%,53%
New Mexico,76%,60%
Missouri,73%,63%
South Carolina,72%,64%
Texas,86%,50%
Arkansas,65%,71%
Colorado,86%,50%
Utah,90%,46%
Tennessee,79%,57%
Wisconsin,89%,47%
Oregon,86%,50%
Hawaii,84%,52%
Kansas,93%,43%
Minnesota,84%,52%
Nebraska,76%,60%
Georgia,79%,57%
Vermont,79%,57%
Delaware,56%,80%
Idaho,65%,71%
Iowa,73%,63%
South Dakota,79%,57%
Alaska,69%,67%
Oklahoma,78%,58%
Montana,83%,53%
