Kategorie: Alle Kategorien

Region,Donald Trump: (01.03.16 bis 01.03.16),Hillary Clinton: (01.03.16 bis 01.03.16)
Alabama,85%,24%
Massachusetts,81%,28%
Kentucky,98%,10%
Georgia,86%,23%
Oklahoma,89%,20%
New Hampshire,92%,17%
Virginia,80%,29%
Arkansas,86%,23%
Vermont,72%,37%
Tennessee,86%,23%
New York,89%,20%
District of Columbia,80%,29%
Delaware,92%,17%
New Jersey,87%,21%
Michigan,92%,17%
Minnesota,76%,32%
Connecticut,90%,19%
Pennsylvania,93%,16%
Washington,93%,16%
Ohio,90%,19%
Oregon,91%,18%
Colorado,84%,25%
Illinois,90%,19%
Louisiana,92%,17%
West Virginia,84%,25%
New Mexico,89%,20%
Wyoming,75%,34%
Texas,84%,25%
Kansas,96%,13%
Montana,87%,21%
Missouri,91%,18%
Maryland,93%,16%
Utah,100%,9%
South Carolina,93%,16%
Alaska,94%,15%
Florida,89%,20%
Arizona,94%,15%
Indiana,91%,18%
California,92%,17%
Wisconsin,91%,18%
North Carolina,91%,18%
South Dakota,98%,10%
Iowa,94%,15%
Idaho,90%,19%
Maine,74%,35%
Rhode Island,76%,32%
Mississippi,85%,24%
Hawaii,90%,19%
Nebraska,89%,20%
North Dakota,78%,31%
Nevada,86%,23%
