Kategorie: Alle Kategorien

Region,Donald Trump: (27.09.16 bis 27.09.16),Hillary Clinton: (27.09.16 bis 27.09.16)
Massachusetts,77%,86%
Connecticut,73%,90%
Wyoming,70%,93%
New Jersey,78%,85%
West Virginia,63%,100%
Maryland,77%,86%
Virginia,73%,90%
New York,78%,85%
Montana,63%,100%
Pennsylvania,80%,83%
New Hampshire,72%,91%
District of Columbia,75%,88%
Ohio,78%,85%
Rhode Island,77%,86%
Florida,78%,85%
Maine,80%,83%
Illinois,77%,86%
Colorado,77%,86%
Minnesota,80%,83%
North Carolina,80%,83%
Nebraska,85%,78%
Arkansas,73%,90%
Oklahoma,73%,90%
Missouri,77%,86%
Kentucky,81%,81%
Iowa,77%,86%
Michigan,81%,81%
Wisconsin,80%,83%
Kansas,63%,100%
North Dakota,83%,80%
Washington,77%,86%
California,81%,81%
Arizona,73%,90%
Indiana,78%,85%
Nevada,86%,77%
Alabama,75%,88%
Georgia,81%,81%
Mississippi,88%,75%
Tennessee,78%,85%
Delaware,75%,88%
New Mexico,80%,83%
Utah,77%,86%
Idaho,72%,91%
Texas,81%,81%
Louisiana,93%,70%
South Carolina,81%,81%
Alaska,85%,78%
Oregon,78%,85%
Vermont,81%,81%
South Dakota,91%,72%
Hawaii,75%,88%
