Kategorie: Alle Kategorien

Region,Donald Trump: (21.09.16 bis 21.09.16),Hillary Clinton: (21.09.16 bis 21.09.16)
Hawaii,98%,18%
Vermont,51%,65%
Montana,36%,81%
Ohio,62%,55%
District of Columbia,69%,48%
Delaware,100%,17%
South Dakota,82%,35%
Alaska,23%,94%
New Jersey,67%,50%
Nevada,78%,38%
Virginia,67%,50%
Pennsylvania,69%,48%
Connecticut,55%,62%
Maine,75%,42%
Louisiana,70%,47%
Arizona,62%,55%
New York,64%,52%
New Mexico,41%,76%
Minnesota,78%,38%
Idaho,63%,54%
Massachusetts,64%,52%
Indiana,64%,52%
Michigan,64%,52%
Florida,61%,56%
Maryland,71%,45%
New Hampshire,48%,69%
Oregon,70%,47%
Alabama,65%,51%
North Carolina,67%,50%
Tennessee,70%,47%
Washington,57%,60%
Rhode Island,56%,61%
West Virginia,68%,49%
Illinois,65%,51%
Oklahoma,51%,65%
California,60%,57%
Mississippi,57%,60%
Missouri,65%,51%
Colorado,60%,57%
Iowa,60%,57%
Wisconsin,58%,58%
Kentucky,61%,56%
Nebraska,61%,56%
Georgia,64%,52%
Texas,62%,55%
Utah,68%,49%
South Carolina,62%,55%
Kansas,54%,63%
Wyoming,70%,47%
Arkansas,52%,64%
North Dakota,78%,38%
