Kategorie: Alle Kategorien

Region,Donald Trump: (17.02.16 bis 17.02.16),Hillary Clinton: (17.02.16 bis 17.02.16)
South Carolina,88%,22%
New Hampshire,92%,18%
Nevada,78%,32%
Delaware,72%,38%
District of Columbia,82%,28%
New Jersey,92%,18%
Georgia,87%,23%
Rhode Island,84%,26%
West Virginia,100%,11%
Arkansas,78%,32%
Alabama,82%,28%
Connecticut,81%,30%
Indiana,85%,25%
Massachusetts,75%,35%
Tennessee,88%,22%
Michigan,86%,24%
Utah,92%,18%
Virginia,83%,27%
New York,82%,28%
North Carolina,87%,23%
Arizona,76%,34%
Wisconsin,88%,22%
Wyoming,71%,40%
Kentucky,82%,28%
Florida,87%,23%
North Dakota,61%,50%
Kansas,80%,31%
Pennsylvania,82%,28%
Illinois,77%,33%
Oregon,80%,31%
Washington,80%,31%
California,83%,27%
Nebraska,82%,28%
Hawaii,88%,22%
Maine,77%,33%
Missouri,94%,16%
Maryland,76%,34%
New Mexico,71%,40%
Minnesota,77%,33%
Texas,84%,26%
Iowa,71%,40%
Oklahoma,86%,24%
Ohio,76%,34%
Mississippi,73%,37%
Vermont,45%,65%
Louisiana,86%,24%
Colorado,70%,41%
Montana,42%,68%
Idaho,65%,45%
South Dakota,71%,40%
Alaska,56%,54%
