Kategorie: Alle Kategorien

Region,Donald Trump: (25.08.16 bis 25.08.16),Hillary Clinton: (25.08.16 bis 25.08.16)
South Dakota,100%,31%
West Virginia,50%,81%
Mississippi,85%,46%
New Hampshire,71%,60%
Nevada,67%,64%
Louisiana,97%,34%
New Jersey,84%,47%
District of Columbia,80%,51%
Indiana,89%,42%
Washington,77%,53%
Vermont,32%,98%
Oklahoma,86%,44%
Georgia,86%,44%
North Carolina,84%,47%
Iowa,82%,48%
Pennsylvania,78%,52%
Florida,80%,51%
Idaho,96%,35%
Maryland,77%,53%
California,80%,51%
Oregon,78%,52%
New York,73%,57%
Alabama,80%,51%
Tennessee,85%,46%
Virginia,76%,55%
Minnesota,80%,51%
Alaska,78%,52%
Massachusetts,76%,55%
Illinois,76%,55%
Missouri,77%,53%
Ohio,77%,53%
New Mexico,75%,56%
Wisconsin,85%,46%
Michigan,71%,60%
North Dakota,94%,36%
Arizona,69%,61%
South Carolina,81%,50%
Hawaii,85%,46%
Kansas,51%,80%
Kentucky,71%,60%
Arkansas,60%,71%
Colorado,75%,56%
Texas,72%,59%
Nebraska,77%,53%
Maine,81%,50%
Rhode Island,84%,47%
Connecticut,68%,63%
Utah,63%,68%
Delaware,73%,57%
Montana,65%,65%
Wyoming,67%,64%
