Kategorie: Alle Kategorien

Region,Donald Trump: (15.01.16 bis 15.01.16),Hillary Clinton: (15.01.16 bis 15.01.16)
Maine,85%,24%
South Dakota,86%,23%
Montana,97%,12%
New Hampshire,81%,28%
Rhode Island,100%,9%
District of Columbia,79%,30%
Vermont,60%,49%
New Jersey,86%,23%
Virginia,86%,23%
New York,83%,26%
Massachusetts,83%,26%
Arizona,93%,16%
West Virginia,73%,36%
Pennsylvania,86%,23%
Minnesota,93%,16%
Kentucky,86%,23%
Oregon,87%,21%
Nebraska,83%,26%
Idaho,98%,10%
Nevada,85%,24%
Connecticut,89%,20%
Alabama,92%,17%
South Carolina,86%,23%
Iowa,68%,41%
Illinois,84%,25%
North Carolina,89%,20%
Oklahoma,80%,29%
Washington,86%,23%
Colorado,82%,27%
California,85%,24%
Wisconsin,83%,26%
Florida,87%,21%
Texas,83%,26%
Missouri,83%,26%
North Dakota,74%,35%
Tennessee,81%,28%
Indiana,78%,31%
New Mexico,86%,23%
Mississippi,82%,27%
Ohio,85%,24%
Michigan,86%,23%
Maryland,79%,30%
Kansas,95%,14%
Arkansas,82%,27%
Alaska,80%,29%
Georgia,82%,27%
Louisiana,73%,36%
Hawaii,87%,21%
Utah,82%,27%
Wyoming,68%,41%
Delaware,56%,53%
