Kategorie: Alle Kategorien

Region,Donald Trump: (04.03.16 bis 04.03.16),Hillary Clinton: (04.03.16 bis 04.03.16)
Vermont,79%,26%
Massachusetts,89%,17%
Michigan,88%,18%
North Dakota,100%,6%
Alabama,94%,11%
Mississippi,97%,8%
Louisiana,94%,11%
Tennessee,90%,15%
Connecticut,92%,13%
District of Columbia,89%,17%
Virginia,89%,17%
New Hampshire,84%,22%
Kansas,90%,15%
Utah,93%,12%
Rhode Island,85%,21%
Kentucky,89%,17%
West Virginia,85%,21%
New York,87%,19%
South Carolina,92%,13%
Ohio,89%,17%
Iowa,85%,21%
Washington,89%,17%
Pennsylvania,88%,18%
Florida,92%,13%
Maryland,89%,17%
Maine,84%,22%
Indiana,92%,13%
New Jersey,87%,19%
Alaska,81%,24%
Nebraska,85%,21%
Georgia,91%,14%
North Carolina,90%,15%
Missouri,85%,21%
Illinois,87%,19%
Wyoming,77%,28%
Colorado,85%,21%
California,90%,15%
Arkansas,86%,20%
Oklahoma,88%,18%
Wisconsin,92%,13%
Minnesota,89%,17%
New Mexico,95%,10%
Texas,88%,18%
Arizona,90%,15%
Delaware,91%,14%
Idaho,82%,23%
Nevada,84%,22%
Hawaii,93%,12%
Montana,80%,25%
Oregon,88%,18%
South Dakota,79%,26%
