Kategorie: Alle Kategorien

Region,Donald Trump: (23.05.16 bis 23.05.16),Hillary Clinton: (23.05.16 bis 23.05.16)
Wyoming,90%,33%
Delaware,100%,23%
Alaska,97%,25%
Vermont,69%,54%
Massachusetts,81%,41%
Montana,76%,46%
South Dakota,75%,48%
New Jersey,85%,38%
Maine,76%,46%
Pennsylvania,87%,35%
California,81%,41%
District of Columbia,72%,50%
New York,82%,40%
Washington,77%,45%
Maryland,77%,45%
Nevada,75%,48%
Wisconsin,93%,29%
Idaho,79%,44%
Mississippi,81%,41%
Alabama,72%,50%
Ohio,92%,30%
New Mexico,81%,41%
Florida,85%,38%
Virginia,82%,40%
Kentucky,71%,51%
Texas,86%,37%
Iowa,79%,44%
North Carolina,82%,40%
Missouri,95%,28%
Rhode Island,79%,44%
Tennessee,80%,43%
Georgia,83%,39%
North Dakota,82%,40%
Michigan,76%,46%
Arizona,83%,39%
Indiana,74%,49%
Oregon,71%,51%
Illinois,80%,43%
New Hampshire,62%,60%
Connecticut,96%,27%
Hawaii,100%,23%
South Carolina,81%,41%
Minnesota,83%,39%
Utah,79%,44%
Nebraska,81%,41%
West Virginia,67%,55%
Oklahoma,72%,50%
Colorado,70%,53%
Louisiana,87%,35%
Arkansas,59%,64%
Kansas,69%,54%
