Kategorie: Alle Kategorien

Region,Donald Trump: (02.04.16 bis 02.04.16),Hillary Clinton: (02.04.16 bis 02.04.16)
Wisconsin,83%,32%
Vermont,55%,60%
Connecticut,90%,25%
Idaho,86%,30%
Rhode Island,91%,24%
New Jersey,96%,19%
New York,77%,38%
Minnesota,81%,34%
Arizona,91%,24%
California,89%,26%
District of Columbia,81%,34%
Missouri,87%,29%
Delaware,61%,54%
Massachusetts,73%,43%
Illinois,84%,31%
Ohio,90%,25%
Louisiana,86%,30%
Nevada,93%,23%
Montana,63%,52%
Nebraska,94%,22%
Mississippi,75%,40%
Indiana,89%,26%
Texas,90%,25%
Tennessee,87%,29%
North Carolina,86%,30%
South Dakota,54%,61%
Wyoming,39%,76%
Maine,86%,30%
Colorado,82%,33%
Oregon,75%,40%
Pennsylvania,81%,34%
Washington,76%,39%
Florida,84%,31%
Arkansas,63%,52%
Maryland,79%,37%
Alabama,80%,36%
Georgia,87%,29%
South Carolina,100%,16%
New Hampshire,68%,47%
North Dakota,59%,56%
Virginia,79%,37%
Utah,72%,44%
Iowa,56%,59%
Michigan,69%,46%
West Virginia,94%,22%
Alaska,59%,56%
New Mexico,79%,37%
Hawaii,75%,40%
Kentucky,70%,45%
Oklahoma,77%,38%
Kansas,83%,32%
