Kategorie: Alle Kategorien

Region,Donald Trump: (06.02.16 bis 06.02.16),Hillary Clinton: (06.02.16 bis 06.02.16)
New Hampshire,60%,67%
Vermont,51%,76%
District of Columbia,79%,48%
South Carolina,88%,39%
Iowa,75%,52%
North Dakota,92%,35%
Kentucky,100%,28%
Delaware,65%,62%
Rhode Island,85%,42%
Connecticut,74%,53%
Wyoming,65%,62%
Pennsylvania,80%,47%
Maine,55%,73%
Colorado,83%,44%
Florida,92%,35%
Massachusetts,69%,58%
Nebraska,78%,50%
North Carolina,84%,43%
Idaho,89%,38%
Missouri,83%,44%
South Dakota,74%,53%
Michigan,85%,42%
Alaska,85%,42%
Tennessee,94%,33%
Indiana,73%,55%
Kansas,76%,51%
California,79%,48%
Oregon,70%,57%
Minnesota,85%,42%
New York,70%,57%
Georgia,89%,38%
Mississippi,83%,44%
Alabama,71%,56%
Ohio,83%,44%
New Jersey,78%,50%
Texas,84%,43%
Nevada,79%,48%
Arizona,78%,50%
Louisiana,100%,28%
Arkansas,79%,48%
Montana,65%,62%
Illinois,75%,52%
Wisconsin,79%,48%
Washington,74%,53%
Maryland,69%,58%
New Mexico,50%,78%
Virginia,74%,53%
Oklahoma,79%,48%
Hawaii,65%,62%
West Virginia,57%,70%
Utah,94%,33%
