Kategorie: Alle Kategorien

Region,Donald Trump: (25.10.16 bis 25.10.16),Hillary Clinton: (25.10.16 bis 25.10.16)
Vermont,63%,50%
Maine,80%,32%
West Virginia,64%,48%
New Jersey,68%,45%
Pennsylvania,65%,47%
Florida,62%,51%
Indiana,68%,45%
Nebraska,68%,45%
Ohio,68%,45%
New Hampshire,67%,46%
South Dakota,71%,42%
Alabama,61%,52%
Utah,70%,43%
New York,69%,44%
Nevada,61%,52%
North Carolina,65%,47%
Montana,80%,32%
Michigan,68%,45%
Wisconsin,73%,39%
Iowa,61%,52%
Minnesota,62%,51%
Missouri,72%,40%
Arkansas,56%,56%
Kentucky,68%,45%
Washington,70%,43%
Delaware,100%,13%
District of Columbia,61%,52%
Virginia,64%,48%
California,69%,44%
Oregon,69%,44%
Georgia,69%,44%
Wyoming,72%,40%
Illinois,63%,50%
Kansas,65%,47%
Texas,65%,47%
Connecticut,63%,50%
Oklahoma,70%,43%
Massachusetts,63%,50%
North Dakota,54%,59%
Maryland,59%,54%
Arizona,65%,47%
Tennessee,64%,48%
Louisiana,63%,50%
Hawaii,63%,50%
South Carolina,61%,52%
Colorado,62%,51%
Rhode Island,59%,54%
Alaska,72%,40%
New Mexico,59%,54%
Mississippi,63%,50%
Idaho,53%,60%
