Kategorie: Alle Kategorien

Region,Donald Trump: (13.07.16 bis 13.07.16),Hillary Clinton: (13.07.16 bis 13.07.16)
Rhode Island,90%,25%
Indiana,82%,33%
Alaska,43%,73%
Montana,94%,22%
West Virginia,67%,48%
New Hampshire,61%,54%
Louisiana,100%,16%
Alabama,79%,37%
Wyoming,38%,77%
New York,74%,41%
Vermont,44%,72%
New Jersey,67%,48%
District of Columbia,62%,53%
Washington,60%,55%
Ohio,70%,45%
Maryland,70%,45%
Illinois,68%,47%
Florida,67%,48%
Connecticut,73%,43%
Virginia,63%,52%
Missouri,70%,45%
Maine,61%,54%
Michigan,67%,48%
Pennsylvania,63%,52%
Mississippi,86%,30%
Kansas,79%,37%
California,65%,51%
New Mexico,72%,44%
Massachusetts,62%,53%
Wisconsin,76%,39%
Delaware,70%,45%
Georgia,67%,48%
Kentucky,74%,41%
North Carolina,73%,43%
Texas,69%,46%
Minnesota,52%,63%
South Dakota,38%,77%
South Carolina,60%,55%
Nevada,60%,55%
Arizona,60%,55%
Utah,77%,38%
Tennessee,56%,59%
North Dakota,77%,38%
Arkansas,63%,52%
Iowa,62%,53%
Oregon,61%,54%
Colorado,55%,60%
Oklahoma,63%,52%
Nebraska,75%,40%
Idaho,46%,69%
Hawaii,59%,56%
