Kategorie: Alle Kategorien

Region,Donald Trump: (05.10.16 bis 05.10.16),Hillary Clinton: (05.10.16 bis 05.10.16)
Pennsylvania,88%,41%
New Jersey,90%,38%
Alabama,88%,41%
Kentucky,90%,38%
Arkansas,85%,44%
Ohio,85%,44%
North Dakota,89%,40%
Indiana,84%,45%
Maine,87%,42%
Massachusetts,89%,40%
Missouri,87%,42%
Michigan,85%,44%
Iowa,83%,46%
Mississippi,94%,35%
South Dakota,79%,50%
District of Columbia,79%,50%
New Hampshire,77%,51%
New York,84%,45%
Minnesota,87%,42%
Tennessee,90%,38%
Virginia,92%,37%
Nevada,92%,37%
Nebraska,81%,48%
Oklahoma,81%,48%
North Carolina,84%,45%
Rhode Island,88%,41%
Georgia,88%,41%
Vermont,76%,53%
Colorado,85%,44%
South Carolina,87%,42%
West Virginia,93%,36%
Illinois,84%,45%
Oregon,87%,42%
Louisiana,85%,44%
Wyoming,88%,41%
New Mexico,92%,37%
Texas,87%,42%
Connecticut,84%,45%
Maryland,79%,50%
Arizona,81%,48%
Washington,77%,51%
Wisconsin,89%,40%
California,83%,46%
Florida,85%,44%
Kansas,85%,44%
Delaware,93%,36%
Idaho,100%,29%
Montana,72%,57%
Utah,89%,40%
Alaska,92%,37%
Hawaii,94%,35%
