Kategorie: Alle Kategorien

Region,Donald Trump: (19.05.16 bis 19.05.16),Hillary Clinton: (19.05.16 bis 19.05.16)
Wyoming,92%,29%
Oregon,82%,39%
Montana,70%,51%
Alaska,96%,25%
New Jersey,87%,34%
Iowa,86%,35%
District of Columbia,79%,42%
Minnesota,93%,28%
Rhode Island,91%,30%
Connecticut,86%,35%
Virginia,86%,35%
New York,81%,40%
Maryland,80%,41%
Illinois,76%,45%
California,81%,40%
Pennsylvania,89%,32%
Florida,89%,32%
Delaware,65%,56%
New Mexico,56%,65%
Nevada,85%,36%
Indiana,80%,41%
Washington,78%,43%
West Virginia,89%,32%
Mississippi,100%,21%
Oklahoma,65%,56%
Missouri,91%,30%
South Carolina,92%,29%
Arizona,95%,26%
Georgia,84%,37%
Ohio,80%,41%
Colorado,89%,32%
Massachusetts,73%,48%
Arkansas,89%,32%
Louisiana,80%,41%
Wisconsin,84%,37%
Michigan,80%,41%
Texas,86%,35%
Kansas,81%,40%
Maine,79%,42%
New Hampshire,73%,48%
Alabama,85%,36%
North Carolina,80%,41%
Tennessee,82%,39%
Kentucky,73%,48%
Vermont,53%,68%
North Dakota,62%,59%
Utah,74%,47%
Hawaii,74%,47%
Nebraska,70%,51%
Idaho,62%,59%
South Dakota,62%,59%
