Kategorie: Alle Kategorien

Region,Donald Trump: (26.08.16 bis 26.08.16),Hillary Clinton: (26.08.16 bis 26.08.16)
Delaware,93%,34%
West Virginia,85%,42%
Vermont,100%,28%
Louisiana,88%,39%
Maine,44%,83%
Wyoming,92%,35%
Nevada,79%,48%
South Dakota,75%,52%
New Mexico,78%,50%
Mississippi,85%,42%
Iowa,80%,47%
District of Columbia,69%,58%
Rhode Island,83%,44%
Massachusetts,74%,53%
New York,74%,53%
New Hampshire,76%,51%
Hawaii,82%,46%
Indiana,85%,42%
Connecticut,88%,39%
New Jersey,71%,56%
Pennsylvania,71%,56%
North Carolina,75%,52%
Arkansas,53%,74%
Nebraska,55%,73%
Washington,76%,51%
Idaho,70%,57%
Georgia,82%,46%
Arizona,71%,56%
Florida,71%,56%
Minnesota,62%,65%
California,74%,53%
Ohio,65%,62%
Kentucky,65%,62%
Texas,76%,51%
North Dakota,92%,35%
Maryland,69%,58%
Illinois,71%,56%
Tennessee,69%,58%
Alaska,71%,56%
Wisconsin,58%,69%
Michigan,73%,55%
Alabama,65%,62%
Colorado,76%,51%
Oregon,57%,70%
Virginia,65%,62%
Oklahoma,51%,76%
Utah,71%,56%
Kansas,73%,55%
Missouri,66%,61%
South Carolina,66%,61%
Montana,65%,62%
