Kategorie: Alle Kategorien

Region,Donald Trump: (05.03.16 bis 05.03.16),Hillary Clinton: (05.03.16 bis 05.03.16)
Louisiana,88%,22%
New Hampshire,92%,18%
Kansas,90%,21%
Utah,96%,14%
District of Columbia,91%,20%
Massachusetts,92%,18%
Maine,82%,28%
New Jersey,95%,15%
Florida,96%,14%
Maryland,88%,22%
Michigan,85%,25%
Alaska,97%,13%
Rhode Island,83%,27%
Montana,67%,43%
Illinois,85%,25%
Oregon,92%,18%
North Carolina,92%,18%
Missouri,85%,25%
West Virginia,82%,28%
Connecticut,90%,21%
Indiana,95%,15%
Georgia,92%,18%
New York,93%,17%
New Mexico,100%,11%
Ohio,90%,21%
Virginia,81%,30%
Arizona,93%,17%
Pennsylvania,94%,16%
Tennessee,93%,17%
South Carolina,95%,15%
California,92%,18%
Colorado,87%,23%
Minnesota,87%,23%
Kentucky,91%,20%
Delaware,98%,12%
Arkansas,86%,24%
Wisconsin,93%,17%
Washington,92%,18%
Vermont,94%,16%
Texas,91%,20%
Nebraska,81%,30%
Wyoming,85%,25%
Alabama,88%,22%
Oklahoma,92%,18%
Hawaii,91%,20%
Mississippi,94%,16%
Iowa,83%,27%
Nevada,87%,23%
Idaho,85%,25%
South Dakota,63%,47%
North Dakota,85%,25%
