Kategorie: Alle Kategorien

Region,Donald Trump: (28.07.16 bis 28.07.16),Hillary Clinton: (28.07.16 bis 28.07.16)
New Jersey,98%,57%
Rhode Island,92%,64%
Maryland,92%,64%
District of Columbia,84%,71%
New Hampshire,93%,62%
New York,92%,64%
Pennsylvania,79%,76%
Maine,56%,100%
Delaware,89%,67%
Colorado,90%,65%
Massachusetts,78%,78%
Ohio,90%,65%
Virginia,90%,65%
Minnesota,89%,67%
West Virginia,92%,64%
Georgia,89%,67%
Iowa,85%,70%
Tennessee,93%,62%
Connecticut,89%,67%
Mississippi,85%,70%
Louisiana,89%,67%
Vermont,71%,84%
Florida,84%,71%
New Mexico,82%,73%
Alabama,81%,75%
Nebraska,71%,84%
Oregon,81%,75%
Illinois,82%,73%
California,81%,75%
Missouri,100%,56%
Washington,78%,78%
South Carolina,85%,70%
Texas,87%,68%
Michigan,81%,75%
North Carolina,82%,73%
Kansas,85%,70%
Arizona,89%,67%
Montana,73%,82%
Arkansas,82%,73%
Wisconsin,85%,70%
North Dakota,71%,84%
Nevada,81%,75%
Indiana,85%,70%
Kentucky,76%,79%
Idaho,87%,68%
South Dakota,85%,70%
Oklahoma,71%,84%
Hawaii,75%,81%
Wyoming,79%,76%
Utah,75%,81%
Alaska,89%,67%
