Kategorie: Alle Kategorien

Region,Donald Trump: (15.07.16 bis 15.07.16),Hillary Clinton: (15.07.16 bis 15.07.16)
New Hampshire,89%,42%
Hawaii,97%,34%
Indiana,90%,40%
Vermont,76%,55%
Pennsylvania,93%,38%
Alabama,97%,34%
Rhode Island,93%,38%
New Jersey,90%,40%
Georgia,89%,42%
North Carolina,93%,38%
South Carolina,96%,35%
Maine,86%,44%
Nevada,100%,31%
New York,85%,46%
Delaware,89%,42%
Massachusetts,80%,51%
Virginia,86%,44%
District of Columbia,78%,52%
Louisiana,89%,42%
Ohio,94%,36%
Missouri,85%,46%
Michigan,86%,44%
Kentucky,92%,39%
Florida,93%,38%
Connecticut,82%,48%
Colorado,90%,40%
Tennessee,86%,44%
Illinois,85%,46%
California,85%,46%
Iowa,75%,56%
Wyoming,89%,42%
Maryland,76%,55%
Nebraska,77%,53%
Minnesota,86%,44%
Oregon,88%,43%
Arizona,85%,46%
Texas,81%,50%
Washington,80%,51%
New Mexico,67%,64%
Kansas,63%,68%
Mississippi,89%,42%
Alaska,59%,72%
Wisconsin,77%,53%
Utah,77%,53%
West Virginia,76%,55%
Arkansas,67%,64%
South Dakota,76%,55%
North Dakota,44%,86%
Oklahoma,75%,56%
Montana,67%,64%
Idaho,84%,47%
