Kategorie: Alle Kategorien

Region,Donald Trump: (25.02.16 bis 25.02.16),Hillary Clinton: (25.02.16 bis 25.02.16)
Oklahoma,86%,21%
Maine,83%,23%
Nevada,86%,21%
Alabama,78%,29%
Vermont,62%,45%
Montana,92%,15%
New Mexico,93%,13%
Rhode Island,80%,26%
Virginia,84%,22%
New Hampshire,100%,7%
Arkansas,87%,20%
Kansas,90%,17%
Maryland,81%,25%
Massachusetts,75%,32%
Utah,86%,21%
Pennsylvania,84%,22%
Florida,89%,18%
Georgia,84%,22%
District of Columbia,68%,38%
Tennessee,82%,24%
Louisiana,80%,26%
Illinois,84%,22%
Texas,83%,23%
Washington,87%,20%
New Jersey,86%,21%
Minnesota,87%,20%
New York,80%,26%
Michigan,83%,23%
Missouri,88%,19%
California,80%,26%
South Carolina,74%,33%
Kentucky,88%,19%
Colorado,78%,29%
Connecticut,81%,25%
Ohio,78%,29%
Wisconsin,84%,22%
Nebraska,90%,17%
Arizona,84%,22%
Delaware,64%,43%
North Dakota,63%,44%
Oregon,78%,29%
North Carolina,82%,24%
Wyoming,62%,45%
Iowa,74%,33%
Alaska,84%,22%
West Virginia,80%,26%
Idaho,68%,38%
Mississippi,90%,17%
Hawaii,75%,32%
Indiana,76%,31%
South Dakota,78%,29%
