Kategorie: Alle Kategorien

Region,Donald Trump: (14.09.16 bis 14.09.16),Hillary Clinton: (14.09.16 bis 14.09.16)
Wyoming,20%,92%
District of Columbia,39%,73%
Arkansas,32%,79%
Montana,21%,91%
New Jersey,37%,75%
Tennessee,31%,80%
North Dakota,12%,100%
South Carolina,38%,74%
Delaware,35%,76%
Colorado,33%,78%
New Mexico,25%,86%
Kentucky,42%,69%
Illinois,37%,75%
New York,40%,71%
Washington,34%,77%
Nebraska,26%,85%
Idaho,32%,79%
North Carolina,34%,77%
Ohio,39%,73%
Minnesota,33%,78%
Pennsylvania,41%,70%
Indiana,42%,69%
Massachusetts,39%,73%
Alabama,39%,73%
Vermont,38%,74%
New Hampshire,31%,80%
Louisiana,40%,71%
Oklahoma,42%,69%
Missouri,33%,78%
Florida,43%,68%
Maine,33%,78%
Michigan,41%,70%
Arizona,46%,66%
Connecticut,46%,66%
California,37%,75%
Georgia,40%,71%
Texas,35%,76%
Virginia,44%,67%
Iowa,39%,73%
Rhode Island,46%,66%
Maryland,44%,67%
Mississippi,41%,70%
Nevada,47%,65%
Wisconsin,42%,69%
Kansas,39%,73%
South Dakota,41%,70%
Utah,46%,66%
Oregon,39%,73%
Hawaii,35%,76%
West Virginia,49%,62%
Alaska,48%,64%
