Kategorie: Alle Kategorien

Region,Donald Trump: (20.02.16 bis 20.02.16),Hillary Clinton: (20.02.16 bis 20.02.16)
South Carolina,88%,26%
Vermont,41%,73%
Delaware,100%,14%
Nevada,62%,52%
Wyoming,47%,67%
Rhode Island,81%,33%
Maine,70%,44%
New Hampshire,77%,37%
Utah,95%,19%
Maryland,83%,31%
New Jersey,87%,27%
Minnesota,87%,27%
Oregon,88%,26%
District of Columbia,74%,40%
Pennsylvania,78%,36%
Florida,88%,26%
Louisiana,82%,32%
Massachusetts,72%,42%
Arizona,93%,21%
Iowa,73%,41%
Connecticut,77%,37%
New York,72%,42%
New Mexico,87%,27%
Illinois,80%,34%
Idaho,79%,35%
Washington,79%,35%
Virginia,79%,35%
West Virginia,75%,39%
Kansas,82%,32%
Michigan,86%,28%
Mississippi,89%,25%
Missouri,89%,25%
Nebraska,75%,39%
Tennessee,82%,32%
Kentucky,94%,20%
Texas,80%,34%
Ohio,81%,33%
Georgia,83%,31%
California,72%,42%
Alaska,82%,32%
Alabama,87%,27%
South Dakota,51%,63%
Colorado,79%,35%
North Carolina,72%,42%
Wisconsin,78%,36%
Indiana,86%,28%
North Dakota,66%,48%
Montana,58%,56%
Oklahoma,58%,56%
Arkansas,73%,41%
Hawaii,72%,42%
